Name|Hilbert
Position|6,0.1,2
MapFile|yourroom.dat
Rotation|0.09509814
RivalName|
Money|3000
Badges|0
Gender|Male
PlayTime|0,2,12,0
OT|0
Points|0
hasPokedex|0
hasPokegear|1
freeCamera|1
thirdPerson|0
skin|Hilbert
location|Your Room
battleAnimations|2
BoxAmount|10
LastRestPlace|yourroom.dat
LastRestPlacePosition|1,0.1,3
DiagonalMovement|0
RepelSteps|0
LastSavePlace|yourroom.dat
LastSavePlacePosition|7,0,5
Difficulty|0
BattleStyle|1
saveCreated|Pre 0.21
LastPokemonPosition|7,0,2
DaycareSteps|312
GameMode|Kolben
PokeFiles|routes\route27.poke
VisitedMaps|barktown0.dat,barktown.dat,elmlab.dat,route29.dat,routes\route27.dat
TempSurfSkin|Hilbert
Surfing|0
BP|0
ShowModels|1
GTSStars|8
SandBoxMode|0
EarnedAchievements|
