1,2,3|3|235,75,188,89|spatk,def|
4,5,6|6|337,53,403,421|atk,speed|
7,8,9|9|56,58,63,157|spatk,def|
10,11,12|12|79,78,94,405|spatk,speed|
13,14,15|15|398,42,332,92|atk,speed|
16,17,18|18|17,19,98,28|atk,speed|
19,20|20|158,242,98,86|atk,hp|
21,22|22|65,242,332,63|atk,speed|
23,24|24|89,157,525,188|atk,spdef|
172,25,26|26|85,86,98,105|spatk,speed|
27,28|28|89,210,360,14|atk,speed|
29,30,31|31|34,89,58,247|atk,def|
32,33,34|34|224,89,474,280|atk,spdef|
173,35,36|36|107,105,63,115|hp,speed|
37,38|38|53,473,91,412|spatk,speed|
174,39,40|40|107,105,63,115|hp,defense|
41,42,169|169|440,403,63,404|atk,speed|
43,44,45|45|202,78,235,188|def,spdef|
46,47|47|202,404,440,147|atk,spdef|
48,49|49|202,404,440,147|spatk,speed|
50,51|51|163,89,157,332|atk,speed|
52,53|53|163,89,185,408|atk,speed|
54,55|55|57,58,63,94|spatk,speed|
56,57|57|370,37,238,85|atk,spatk|
58,59|59|245,53,104,332|atk,speed|
60,61,62|62|509,57,89,56|spatk,atk|
63,64,65|65|94,105,107,347|spatk,speed|
66,67,68|68|223,238,157,53|atk,def|
69,70,71|71|348,79,202,188|spdef,def|
72,73|73|56,57,58,482|spatk,spdef|
74,75,76|76|537,444,89,280|atk,def|
77,78|78|398,224,394,105|atk,speed|
79,80|80|94,352,247,133|spatk,spdef|
81,82,462|462|192,86,360,115|spatk,speed|
83|83|413,398,210,14|atk,speed|
84,85|85|65,37,63,98|atk,speed|
86,87|87|58,453,57,324|spatk,speed|
88,89|89|441,105,115,107|def,spdef|182
90,91|91|59,556,57,182|def,atk|
92,93,94|94|247,188,411,109|spatk,speed|
95,208|208|231,444,89,225|spdef,def|
96,97|97|471,94,411,477|spatk,spdef|
98,99|99|152,341,232,404|atk,speed|
100,101|101|451,85,528,104|spatk,speed|
102,103|103|452,94,121,92|atk,spdef|
104,105|105|198,155,38,104|atk,hp|
106|106|370,299,25,116|atk,speed|
107|107|7,8,9,183|def,speed|
108,463|463|109,205,34,58|def,hp|
109,110|110|188,458,92,53|spatk,hp|
111,112,464|464|224,439,444,89|atk,def|
440,113,242|242|135,287,36,113|def,hp|
114,465|465|202,246,438,79|def,spdef|
115|115|200,5,146,280|def,atk|
116,117,230|230|349,406,57,108|spatk,speed|
118,119|119|224,127,30,97|atk,def|
120,121|121|109,105,127,94|atk,speed|
439,122|122|345,94,115,113|spatk,spdef|
123,212|212|442,404,14,163|atk,speed|
238,124|124|142,8,94,34|spatk,atk|
