Name|Luxio
Number|404
ExperienceType|2
BaseExperience|127
Type1|Electric
Type2|
CatchRate|120
BaseFriendship|100
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|403
IsGenderLess|0
CanBreed|1
Devolution|403
IsMale|50
Ability1|79
Ability2|22
HiddenAbility|62
EggMoves|24,598,313,424,270,336,423,98,351,324,129,36,422,400
Machines|174,46,92,192,237,173,63,182,240,203,218,231,87,216,189,104,207,214,129,197,156,213,210,34,36,6,99,102,117,130,164,351,263,290,416,445,363,496,555,590,70,148
BaseHP|60
BaseAttack|85
BaseDefense|49
BaseSpAttack|60
BaseSpDefense|49
BaseSpeed|60
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|By gathering their tails together they collectively generate powerful electricity from their claws.\Spark Pokémon\30.5\0.9\0,148,0
Scale|0.96
Move|1,33
Move|1,43
Move|5,43
Move|9,268
Move|13,209
Move|18,44
Move|23,46
Move|28,207
Move|33,422
Move|38,242
Move|43,184
Move|48,435
Move|53,528
TradeValue|30
EvolutionCondition|405,Level,30,Level
