Name|Mega Sceptile
Number|254
ExperienceType|2
BaseExperience|239
Type1|Grass
Type2|Dragon
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Dragon
BaseEggSteps|5355
EggPokemon|252
IsGenderLess|0
CanBreed|1
Devolution|253
IsMale|87.5
Ability1|31
Ability2|Nothing
HiddenAbility|Nothing
EggMoves|331,242,306,24,225,283,320,580,437,73,345,300,363,13,235,388,202
Machines|223,174,46,92,249,237,241,173,63,182,202,203,218,76,231,216,91,189,104,207,214,129,9,197,156,213,210,5,25,34,36,38,66,68,69,99,72,102,117,130,164,264,337,331,280,317,332,263,290,411,412,206,374,406,409,416,445,363,468,490,496,267,612,590,15,70,431,560
BaseHP|70
BaseAttack|110
BaseDefense|75
BaseSpAttack|145
BaseSpDefense|85
BaseSpeed|145
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|3
CanFly|0
CanSwim|0
Pokedex|It agilely leaps about the jungle and uses the sharp leaves on its arms to strike its prey.\Forest Pokémon\55.2\1.9\0,148,0
Scale|1.28
Move|1,437
Move|1,400
Move|1,1
Move|1,43
Move|1,71
Move|1,98
Move|6,71
Move|11,98
Move|16,404
Move|17,228
Move|23,103
Move|29,348
Move|35,97
Move|43,21
Move|51,197
Move|59,206
Move|67,437
TradeValue|70
