Name|Ekans
Number|23
ExperienceType|1
BaseExperience|58
Type1|Poison
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Field
EggGroup2|Dragon
BaseEggSteps|5355
EggPokemon|23
IsGenderLess|0
IsMale|50
Ability1|22
Ability2|61
HiddenAbility|127
EggMoves|251,50,231,342,305,228,184,21,289,180,389,415
Machines|29,174,92,237,241,173,63,182,240,202,203,218,231,89,216,91,104,207,214,188,197,156,213,168,34,36,99,72,90,102,117,130,157,164,317,259,263,290,289,371,416,445,399,363,398,474,482,496,523,611,590,70
BaseHP|35
BaseAttack|60
BaseDefense|44
BaseSpAttack|40
BaseSpDefense|54
BaseSpeed|55
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It can freely detach its jaw to swallow large prey whole. It can become too heavy to move, however.\Snake Pokémon\6.9\2\0,148,0
Scale|1.4
Move|1,43
Move|1,35
Move|4,40
Move|9,44
Move|12,137
Move|17,103
Move|20,51
Move|25,254
Move|25,255
Move|25,256
Move|28,491
Move|33,426
Move|36,380
Move|38,562
Move|41,114
Move|44,489
Move|49,441
EvolutionCondition|24,Level,22,Level
TradeValue|10
