Name|Bellossom
Number|182
ExperienceType|2
BaseExperience|216
Type1|Grass
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Grass
EggGroup2|None
BaseEggSteps|5355
EggPokemon|43
IsGenderLess|0
CanBreed|1
Devolution|44
IsMale|50
Ability1|34
Ability2|Nothing
HiddenAbility|131
EggMoves|495,204,175,275,267,75,290,235,298,321,14
Machines|174,92,237,241,230,173,63,182,202,203,218,76,216,104,207,214,188,197,156,213,14,36,99,72,102,117,164,331,219,263,290,412,374,409,416,445,363,447,474,496,611,267,605,590,15,148
BaseHP|75
BaseAttack|80
BaseDefense|95
BaseSpAttack|90
BaseSpDefense|100
BaseSpeed|50
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|3
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|BELLOSSOM gather at times and seem to dance. They say that the dance is a ritual to summon the sun.\Flower Pokémon\5.8\0.4\0,148,0
Scale|0.7
Move|1,437
Move|1,348
Move|1,72
Move|1,230
Move|1,78
Move|1,241
Move|23,345
Move|50,572
Move|53,437
TradeValue|50
