Name|Miltank
Number|241
ExperienceType|3
BaseExperience|172
Type1|Normal
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|241
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|0
Ability1|47
Ability2|113
HiddenAbility|157
EggMoves|562,174,146,38,203,359,531,270,363,217,386,179,69,214,244
Machines|223,29,174,205,92,192,249,244,237,241,230,173,59,63,196,182,240,203,218,76,231,87,89,216,247,189,104,8,207,214,201,111,9,197,156,213,7,5,25,32,34,36,38,61,55,58,66,68,69,99,85,90,102,117,118,130,86,157,164,264,352,280,351,317,263,290,411,374,416,360,446,445,363,496,497,514,523,526,612,590,57,70,250,560
BaseHP|95
BaseAttack|80
BaseDefense|105
BaseSpAttack|40
BaseSpDefense|70
BaseSpeed|100
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Its milk is packed with nutrition making it the ultimate beverage for the sick or weary.\Milk Cow Pokémon\75.5\1.2\0,148,0
Scale|1.08
Move|1,33
Move|3,45
Move|5,111
Move|8,23
Move|11,208
Move|15,117
Move|19,205
Move|24,34
Move|29,428
Move|35,445
Move|41,360
Move|48,215
Move|55,358
TradeValue|40
Item|100,72
