Name|Carnivine
Number|455
ExperienceType|3
BaseExperience|159
Type1|Grass
Type2|
CatchRate|200
BaseFriendship|70
EggGroup1|Grass
EggGroup2|None
BaseEggSteps|6630
EggPokemon|455
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|26
Ability2|Nothing
HiddenAbility|Nothing
EggMoves|202,320,73,345,476,75,21,79,78,235,388
Machines|174,92,237,241,230,173,63,182,202,203,218,76,216,189,104,207,214,188,197,156,213,168,210,14,36,68,99,72,102,117,164,331,263,290,412,374,371,416,445,363,447,496,611,267,590,15,148
BaseHP|74
BaseAttack|100
BaseDefense|72
BaseSpAttack|90
BaseSpDefense|72
BaseSpeed|46
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It walks around on its tentacles in search of a tree branch where it can dangle down and ambush prey.\Bug Catcher Pokémon\27\1.4\0,148,0
Scale|1.16
Move|1,20
Move|1,74
Move|7,44
Move|11,22
Move|17,230
Move|21,275
Move|27,185
Move|31,536
Move|37,254
Move|37,255
Move|37,256
Move|41,242
Move|47,378
Move|50,438
TradeValue|40
