Name|Swadloon
Number|541
ExperienceType|2
BaseExperience|133
Type1|Bug
Type2|Grass
CatchRate|120
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|4080
EggPokemon|540
IsGenderLess|0
CanBreed|1
Devolution|540
IsMale|50
Ability1|102
Ability2|34
HiddenAbility|142
EggMoves|97,403,226,293,382,170,13,103,318
Machines|174,92,237,241,173,63,182,202,203,218,216,104,207,214,197,156,213,99,72,102,117,164,263,290,412,416,445,363,496,522,267,590,148
BaseHP|55
BaseAttack|63
BaseDefense|90
BaseSpAttack|50
BaseSpDefense|80
BaseSpeed|42
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Preferring dark, damp places, it spends the entire day eating fallen leaves that lie around it.\Leaf-Wrapped Pokémon\7.3\0.5\0,148,0
Scale|0.7
Move|1,320
Move|1,33
Move|1,81
Move|1,450
Move|1,75
Move|20,182
TradeValue|25
EvolutionCondition|542,friendship,220,level
