Name|Lunatone
Number|337
ExperienceType|0
BaseExperience|154
Type1|Rock
Type2|Psychic
CatchRate|45
BaseFriendship|70
EggGroup1|Mineral
EggGroup2|None
BaseEggSteps|6630
EggPokemon|337
IsGenderLess|1
CanBreed|1
Devolution|0
IsMale|0.0
Ability1|26
Ability2|Nothing
HiddenAbility|Nothing
Machines|174,205,92,244,237,173,59,63,196,182,240,203,218,89,216,94,247,104,207,214,201,129,111,138,197,156,213,34,36,38,58,99,100,102,115,117,120,149,153,157,161,164,347,113,219,317,263,290,285,451,373,278,416,397,444,360,446,445,363,447,433,473,477,479,496,512,523,590,148
BaseHP|70
BaseAttack|55
BaseDefense|65
BaseSpAttack|95
BaseSpDefense|85
BaseSpeed|70
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|2
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It was discovered at the site of a meteor strike 40 years ago. Its stare can lull its foes to sleep.\Meteorite Pokémon\168\1\0,148,0
Scale|1
Move|1,478
Move|1,88
Move|1,33
Move|1,106
Move|1,93
Move|5,88
Move|9,95
Move|13,397
Move|17,149
Move|21,373
Move|25,157
Move|29,322
Move|33,94
Move|37,377
Move|41,444
Move|45,248
Move|49,153
Move|50,585
Move|53,478
TradeValue|50
Item|5,8
