Name|Tympole
Number|535
ExperienceType|2
BaseExperience|59
Type1|Water
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Water1
EggGroup2|None
BaseEggSteps|5355
EggPokemon|535
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|33
Ability2|93
HiddenAbility|11
EggMoves|495,414,54,426,300,287,173,352,214
Machines|174,205,92,237,173,63,196,182,240,203,218,216,104,207,214,111,197,156,213,61,55,58,99,102,117,164,352,263,290,362,416,445,363,482,496,503,611,590,57,250
BaseHP|50
BaseAttack|50
BaseDefense|40
BaseSpAttack|50
BaseSpDefense|40
BaseSpeed|64
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|By vibrating its cheeks, it emits sound waves imperceptible to humans and warns others of danger.\Tadpole Pokémon\4.5\0.5\0,148,0
Scale|0.7
Move|1,145
Move|1,45
Move|5,48
Move|9,496
Move|12,61
Move|16,341
Move|20,392
Move|23,253
Move|27,330
Move|31,240
Move|34,175
Move|38,497
Move|42,56
Move|45,304
TradeValue|25
Item|50,2007
EvolutionCondition|536,Level,25,Level
