Name|Rhyperior
Number|464
ExperienceType|3
BaseExperience|241
Type1|Ground
Type2|Rock
CatchRate|30
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Field
BaseEggSteps|5355
EggPokemon|111
IsGenderLess|0
CanBreed|1
Devolution|112
IsMale|50
Ability1|31
Ability2|116
HiddenAbility|120
EggMoves|68,242,306,174,407,424,470,423,231,222,368,563,179,431,130,422,157,14
Machines|223,174,46,92,249,237,241,173,59,63,196,182,203,218,231,87,89,216,91,189,104,8,207,214,201,126,9,197,156,213,168,7,210,5,14,25,32,34,36,38,58,6,66,68,69,99,82,85,90,102,117,130,157,164,264,280,351,53,317,263,290,411,374,406,421,371,416,397,444,419,446,445,363,398,430,479,496,510,523,525,612,590,15,57,70,250,431,560
BaseHP|115
BaseAttack|140
BaseDefense|130
BaseSpAttack|55
BaseSpDefense|55
BaseSpeed|40
FPHP|0
FPAttack|3
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|From holes in its palms, it fires out Geodude. Its carapace can withstand volcanic eruptions.\Drill Pokémon\282.8\2.4\0,148,0
Scale|1.56
Move|1,439
Move|1,224
Move|1,32
Move|1,398
Move|1,30
Move|1,39
Move|1,23
Move|1,31
Move|9,23
Move|19,31
Move|19,184
Move|23,350
Move|30,498
Move|41,36
Move|42,359
Move|47,529
Move|56,444
Move|62,89
Move|71,32
Move|77,224
Move|86,439
TradeValue|85
