Name|Archeops
Number|567
ExperienceType|1
BaseExperience|177
Type1|Rock
Type2|Flying
CatchRate|45
BaseFriendship|70
EggGroup1|Flying
EggGroup2|Water3
BaseEggSteps|7905
EggPokemon|566
IsGenderLess|0
CanBreed|1
Devolution|566
IsMale|87.5
Ability1|129
Ability2|Nothing
HiddenAbility|Nothing
EggMoves|502,44,432,406,414,457,282,211,415
Machines|174,46,92,249,237,173,63,182,203,218,231,225,216,189,104,207,214,197,156,213,211,210,13,18,36,38,99,82,102,117,120,130,143,164,337,263,290,355,411,406,416,432,444,446,445,363,365,468,479,496,525,590,15,19
BaseHP|75
BaseAttack|140
BaseDefense|65
BaseSpAttack|112
BaseSpDefense|65
BaseSpeed|110
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It runs better than it flies. It takes off into the sky by running at a speed of 25mph.\First Bird Pokémon\32\1.4\0,148,0
Scale|1.16
Move|1,17
Move|1,43
Move|1,88
Move|1,98
Move|5,88
Move|8,104
Move|11,184
Move|15,365
Move|18,246
Move|21,97
Move|25,501
Move|28,512
Move|31,225
Move|35,242
Move|40,283
Move|45,369
Move|51,157
Move|56,337
Move|61,37
TradeValue|50
