Name|Giratina
Number|487
ExperienceType|3
BaseExperience|306
Type1|Ghost
Type2|Dragon
CatchRate|3
BaseFriendship|0
EggGroup1|None
EggGroup2|None
BaseEggSteps|30855
EggPokemon|487
IsGenderLess|1
CanBreed|0
Devolution|0
IsMale|0.0
Ability1|46
Ability2|Nothing
HiddenAbility|140
Machines|174,46,92,192,249,244,237,241,173,63,196,182,240,203,218,231,225,87,89,216,94,247,189,104,207,214,129,138,197,156,213,211,210,36,38,99,82,85,102,117,130,86,149,164,337,347,351,332,263,290,412,451,406,261,318,421,371,416,432,444,445,399,363,468,477,496,497,523,525,590,15,19,70,431,560
TutorMoves|434
BaseHP|150
BaseAttack|100
BaseDefense|120
BaseSpAttack|100
BaseSpDefense|120
BaseSpeed|90
FPHP|3
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|This Pokémon is said to live in a world on the reverse side of ours, where common knowledge is distorted and strange.\Renegade Pokémon\750\4.5\0,148,0
Scale|2
Move|1,225
Move|1,184
Move|6,466
Move|10,246
Move|15,163
Move|19,425
Move|24,194
Move|28,337
Move|33,414
Move|37,396
Move|42,421
Move|46,467
Move|50,506
TradeValue|100
