Name|Snubbull
Number|209
ExperienceType|0
BaseExperience|60
Type1|Fairy
Type2|
CatchRate|190
BaseFriendship|70
EggGroup1|Field
EggGroup2|Fairy
BaseEggSteps|5355
EggPokemon|209
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|25
Ability1|22
Ability2|50
HiddenAbility|155
EggMoves|370,242,38,313,185,424,264,215,423,118,102,217,265,173,115,422,43,122
Machines|223,29,174,46,92,192,249,237,241,173,63,182,240,203,218,76,87,89,216,91,247,189,104,8,207,214,188,126,111,9,197,156,213,168,7,5,25,34,36,6,66,68,69,99,85,102,115,117,118,130,86,164,264,352,339,269,280,351,53,259,263,290,315,374,371,416,445,363,496,510,514,523,526,528,555,612,605,590,70
BaseHP|60
BaseAttack|80
BaseDefense|50
BaseSpAttack|40
BaseSpDefense|40
BaseSpeed|30
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Although it looks frightening, it is actually kind and affectionate. It is very popular among women.\Fairy Pokémon\7.8\0.6\0,148,0
Scale|0.84
Move|1,423
Move|1,424
Move|1,422
Move|1,33
Move|1,184
Move|1,39
Move|1,204
Move|7,44
Move|13,122
Move|19,29
Move|25,46
Move|31,99
Move|37,583
Move|43,371
Move|49,242
TradeValue|25
EvolutionCondition|210,Level,23,Level
