Name|Spewpa
Number|665
ExperienceType|1
BaseExperience|75
Type1|Bug
Type2|
CatchRate|120
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|4080
EggPokemon|664
IsGenderLess|0
CanBreed|1
Devolution|664
IsMale|50
Ability1|61
Ability2|14
HiddenAbility|132
EggMoves|77,476,78
Machines|
BaseHP|45
BaseAttack|22
BaseDefense|60
BaseSpAttack|27
BaseSpDefense|30
BaseSpeed|29
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|The beaks of birds can't begin to scratch its stalwart body. To defend itself, it spews powder.\Scatterdust Pokémon\8.4\0.3\0,148,0
Scale|0.5
Move|1,106
Move|9,182
TradeValue|25
EvolutionCondition|666,level,12,level
