Name|Unown
Number|201
ExperienceType|1
BaseExperience|118
Type1|Psychic
Type2|
CatchRate|225
BaseFriendship|70
EggGroup1|None
EggGroup2|None
BaseEggSteps|10455
EggPokemon|201
IsGenderLess|1
CanBreed|1
Devolution|0
IsMale|0.0
Ability1|26
Ability2|Nothing
HiddenAbility|Nothing
Machines|
BaseHP|48
BaseAttack|72
BaseDefense|48
BaseSpAttack|72
BaseSpDefense|48
BaseSpeed|48
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|0
CanFly|1
CanSwim|0
Pokedex|Their shapes look like hieroglyphs on ancient tablets. It is said that the two are somehow related.\Symbol Pokémon\5\0.5\0,148,0
Scale|0.7
Move|1,237
TradeValue|10
