Name|Celebi
Number|251
ExperienceType|2
BaseExperience|270
Type1|Psychic
Type2|Grass
CatchRate|45
BaseFriendship|100
EggGroup1|None
EggGroup2|None
BaseEggSteps|30855
EggPokemon|251
IsGenderLess|1
CanBreed|0
Devolution|0
IsMale|0.0
Ability1|30
Ability2|Nothing
HiddenAbility|Nothing
Machines|174,92,244,237,241,230,173,63,182,202,203,218,76,216,94,189,104,207,214,129,111,138,197,156,213,171,36,99,72,100,102,117,118,86,149,161,164,352,347,351,332,263,290,285,369,412,374,451,318,416,446,445,363,433,473,477,496,267,605,590,148
BaseHP|100
BaseAttack|100
BaseDefense|100
BaseSpAttack|100
BaseSpDefense|100
BaseSpeed|100
FPHP|3
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|1
CanSwim|0
Pokedex|This Pokémon wanders across time. Grass and trees flourish in the forests in which it has appeared.\Time Travel Pokémon\5\0.6\0,148,0
Scale|0.84
Move|1,73
Move|1,93
Move|1,105
Move|1,215
Move|10,219
Move|19,345
Move|28,246
Move|37,226
Move|46,363
Move|55,377
Move|64,248
Move|73,361
Move|82,437
Move|91,195
TradeValue|120
Item|100,2008
