Name|Mega Ampharos
Number|181
ExperienceType|2
BaseExperience|225
Type1|Electric
Type2|Dragon
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Field
BaseEggSteps|5355
EggPokemon|179
IsGenderLess|0
CanBreed|1
Devolution|180
IsMale|50
Ability1|104
Ability2|Nothing
HiddenAbility|104
EggMoves|495,97,34,268,598,604,260,231,316,28,103,36,115,219,85
Machines|223,29,174,92,192,249,237,173,63,182,240,203,218,231,87,216,104,207,214,129,111,9,197,156,213,7,5,25,34,36,6,66,68,69,99,85,102,117,130,86,149,164,264,113,219,280,351,263,290,411,374,451,416,445,363,496,497,521,523,528,612,590,70,148,431
BaseHP|90
BaseAttack|95
BaseDefense|105
BaseSpAttack|165
BaseSpDefense|110
BaseSpeed|45
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|3
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.\Light Pokémon\61.5\1.4\0,148,0
Scale|1.16
Move|1,192
Move|1,602
Move|1,569
Move|1,406
Move|1,7
Move|1,33
Move|1,45
Move|1,86
Move|1,84
Move|4,86
Move|8,84
Move|11,178
Move|16,268
Move|20,36
Move|25,486
Move|29,109
Move|30,9
Move|35,408
Move|40,435
Move|46,538
Move|51,324
Move|57,113
Move|62,87
Move|65,406
TradeValue|35
