Name|Chinchou
Number|170
ExperienceType|3
BaseExperience|66
Type1|Water
Type2|Electric
CatchRate|190
BaseFriendship|70
EggGroup1|Water2
EggGroup2|None
BaseEggSteps|5355
EggPokemon|170
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|10
Ability2|35
HiddenAbility|11
EggMoves|97,133,362,175,54,60,103,351,487,352,250
Machines|174,92,192,237,173,59,63,182,240,203,218,87,216,104,207,214,197,156,213,36,61,55,58,99,85,102,117,86,164,352,258,351,263,290,362,451,416,445,363,496,503,521,528,605,590,57,148,250,127,291
BaseHP|75
BaseAttack|38
BaseDefense|38
BaseSpAttack|56
BaseSpDefense|56
BaseSpeed|67
FPHP|1
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|1
Pokedex|It shoots positive and negative electricity between the tips of its two antennae and zaps its enemies.\Angler Pokémon\12\0.5\0,148,0
Scale|0.7
Move|1,55
Move|1,48
Move|6,86
Move|9,175
Move|12,145
Move|17,109
Move|20,209
Move|23,36
Move|28,486
Move|31,61
Move|34,324
Move|39,435
Move|42,392
Move|45,56
Move|47,569
Move|50,268
TradeValue|20
Item|5,162
EvolutionCondition|171,Level,27,Level
