Name|Bronzong
Number|437
ExperienceType|1
BaseExperience|175
Type1|Steel
Type2|Psychic
CatchRate|90
BaseFriendship|70
EggGroup1|Mineral
EggGroup2|None
BaseEggSteps|5355
EggPokemon|436
IsGenderLess|1
CanBreed|1
Devolution|436
IsMale|0.0
Ability1|26
Ability2|85
HiddenAbility|134
Machines|174,205,92,192,249,244,237,241,173,63,182,203,218,216,94,104,207,214,111,197,156,213,171,34,36,38,99,100,102,115,117,120,149,161,164,263,290,285,278,416,446,445,363,433,473,477,496,590,70,148,560
BaseHP|67
BaseAttack|89
BaseDefense|116
BaseSpAttack|79
BaseSpDefense|116
BaseSpeed|33
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Ancient people believed that petitioning BRONZONG for rain was the way to make crops grow.\Bronze Bell Pokémon\187\1.3\0,148,0
Scale|1.12
Move|1,241
Move|1,240
Move|1,33
Move|1,93
Move|1,95
Move|1,286
Move|5,95
Move|9,286
Move|11,109
Move|15,149
Move|19,334
Move|21,185
Move|25,219
Move|29,248
Move|31,319
Move|33,335
Move|36,360
Move|42,326
Move|46,371
Move|52,377
Move|58,484
TradeValue|55
Item|5,143
