Name|Chandelure
Number|609
ExperienceType|2
BaseExperience|234
Type1|Ghost
Type2|Fire
CatchRate|45
BaseFriendship|70
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|5355
EggPokemon|607
IsGenderLess|0
CanBreed|1
Devolution|608
IsMale|50
Ability1|18
Ability2|49
HiddenAbility|151
EggMoves|499,203,114,257,471,51,151,445
Machines|174,92,244,237,241,173,63,182,203,218,76,216,94,247,104,207,214,126,138,197,156,213,168,171,99,102,117,149,161,164,347,269,219,53,263,290,315,412,261,373,371,416,445,399,363,433,477,488,496,510,590,148
BaseHP|60
BaseAttack|55
BaseDefense|90
BaseSpAttack|145
BaseSpDefense|90
BaseSpeed|80
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|3
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|The spirits burned up in its ominous flame lose their way and wander this world forever.\Luring Pokémon\34.3\1\0,148,0
Scale|1
Move|1,220
Move|1,123
Move|1,109
Move|1,481
Move|1,506
TradeValue|65
