1,2,3|2|75,38,92,235|spatk,def|
4,5,6|5|337,424,163,481|spatk,speed|
7,8,9|8|352,44,130,91|spatk,def|
10,11,12|11|33,81,450,106|atk,def|
13,14,15|14|40,81,450,106|spdef,def|
16,17,18|17|239,98,17,355|atk,speed|
19,20|20|98,158,116,242|atk,speed|
21,22|22|372,332,228,355|atk,speed|
23,24|24|242,51,137,426|spatk,def|
25,26,172|26|85,98,104,113|spatk,speed|
27,28|28|222,14,210,306|atk,speed|
29,30,31|30|390,242,24,40|atk,hp|
32,33,34|33|398,24,30,15|atk,speed|
35,36,173|36|574,3,107,47|def,hp|
37,38|38|417,53,109,98|spatk,speed|
39,40,174|40|47,34,574,38|hp,spdef|
41,42,169|42|141,109,17,305|atk,speed|
43,44,45,182|44|51,72,77,381|def,spatk|
46,47|47|147,163,72,210|spatk,spdef|
48,49|49|324,141,93,305|spatk,def|
50,51|51|222,28,163,91|atk,speed|
52,53|53|408,163,44,45|atk,speed|
54,55|55|401,93,133,154|def,spdef|
56,57|57|2,116,236,43|atk,speed|
58,59|59|422,424,36,172|atk,spatk|
60,61,62,186|61|61,341,95,34|spatk,speed|
63,64,65|64|93,115,60,105|spatk,speed|
66,67,68|67|43,2,184,279|atk,speed|
69,70,71|70|75,79,51,74|spatk,spdef|
72,73|73|352,491,398,506|spatk,spdef|
74,75,76|75|88,222,446,205|def,spdef|
77,78|78|172,23,224,98|atk,speed|
79,80,199|80|281,352,93,133|spatk,spdef|
81,82,462|82|85,429,86,48|spatk,speed|
83|83|43,210,31,332|atk,speed|
84,85|85|228,253,65,97|atk,def|
86,87|87|62,453,30,156|atk,def|
88,89|89|188,426,107,103|spatk,def|
90,91|91|128,62,191,43|atk,def|
92,93,94|93|247,325,389,212|spatk,speed|
95,208|95|157,225,91,99|def,spdef|
96,97|97|428,29,95,139|spatk,spdef|
98,99|99|152,11,43,232|atk,def|
100,101|101|451,113,209,360|spatk,speed|
102,103|103|402,473,23,95|spatk,def|
104,105|105|155,37,125,43|atk,def|
106|106|24,96,299,136|atk,speed|
107|107|4,418,183,97|def,speed|
108,463|108|122,438,48,282|def,spdef|
109,110|110|139,372,188,123|spatk,hp|
111,112,464|112|30,31,39,350|def,hp|
113,242,440|113|111,135,3,39|def,hp|
114,465|114|132,22,71,79|spatk,spdef|
115|115|252,4,44,43|atk,def|
116,117,230|117|145,108,43,127|atk,spatk|
118,119|119|30,64,55,39|atk,speed|
120,121|121|229,105,55,106|atk,speed|
122,439|122|93,96,3,112|def,spdef|
123,212|123|98,228,210,10|atk,speed|
124,238|124|122,181,142,1|spatk,atk|
125,239,466|125|84,67,98,43|spatk,def|
126,240,467|126|52,123,185,108|spatk,spdef|
127|127|11,116,522,69|atk,def|
128|128|39,30,99,228|atk,speed|
129,130|130|150,33,175|def,speed|
131|131|55,109,420,47|spatk,spdef|
132|132|144|hp,speed|
133,700|700|584,98,39,247|spatk,speed|
134|134|352,98,39,62|spatk,speed|
135|135|422,98,39,42|atk,speed|
136|136|436,98,39,44|spatk,speed|
137,233,474|233|159,60,105,218|atk,speed|
138,139|139|110,55,205,44|atk,def|
140,141|141|106,341,10,71|atk,def|
142|142|17,44,184,97|atk,def|
143,446|143|122,111,281,498|hp,def|
