Cities:
{"PlaceType"[City]}{"Name"[Pallet Town]}{"MapFiles"[pallet\main.dat,pallet\red1.dat,pallet\Red2.dat,pallet\Blue.dat,pallet\oaklab.dat]}{"Position"[14,12]}{"Size"[Small]}{"FlyTo"[pallet\main.dat,5,12,6]}
{"PlaceType"[City]}{"Name"[Viridian City]}{"MapFiles"[viridian\main.dat,viridian\1.dat,viridian\center.dat,viridian\mart.dat,viridian\trainerhouse\main.dat,viridian\trainerhouse\bf1.dat,viridian\trainerhouse\arena.dat]}{"Position"[13,8]}{"PlayerPosition"[14,9]}{"Size"[Big]}{"FlyTo"[viridian\main.dat,23,12,26]}
{"PlaceType"[City]}{"Name"[Pewter City]}{"MapFiles"[pewter\main.dat,pewter\center.dat,pewter\mart.dat,pewter\museum.dat,pewter\1.dat,pewter\2.dat,gyms\pewter_gym.dat]}{"Position"[14,3]}{"Size"[Big]}{"FlyTo"[pewter\main.dat,13,12,26]}
{"PlaceType"[City]}{"Name"[Cerulean City]}{"MapFiles"[cerulean\main.dat,cerulean\center.dat,cerulean\mart.dat,cerulean\1.dat,cerulean\2.dat,cerulean\3.dat,gyms\cerulean_gym.dat]}{"Position"[22,4]}{"PlayerPosition"[23,4]}{"Size"[Big]}{"FlyTo"[cerulean\main.dat,19,12,22]}
{"PlaceType"[City]}{"Name"[Saffron City]}{"MapFiles"[saffron\main.dat,saffron\trainstation.dat,saffron\dojo.dat,saffron\copycat1.dat,saffron\copycat2.dat,saffron\mart.dat,saffron\silph.dat,saffron\center.dat,saffron\psychic.dat,gyms\saffron_gym.dat,gates\saffronwest.dat,gates\saffronnorth.dat,gates\saffronsouth.dat,gates\saffroneast.dat]}{"Position"[22,7]}{"Size"[Big]}{"FlyTo"[saffron\main.dat,9,12,30]}
{"PlaceType"[City]}{"Name"[Vermilion City]}{"MapFiles"[vermilion\main.dat,vermilion\center.dat,vermilion\mart.dat,vermilion\1.dat,vermilion\2.dat,vermilion\3.dat,vermilion\dock.dat,vermilion\dock_entrance.dat,vermilion\fan.dat,gyms\vermilion_gym.dat]}{"Position"[22,10]}{"Size"[Big]}{"FlyTo"[vermilion\main.dat,9,12,6]}
{"PlaceType"[City]}{"Name"[Celadon City]}{"MapFiles"[celadon\main.dat,celadon\center.dat,celadon\mart.dat,celadon\condo1.dat,celadon\condo2.dat,celadon\condo3.dat,celadon\condo4.dat,celadon\diner.dat,celadon\voltorbflip.dat,gyms\celadon_gym.dat]}{"Position"[19,8]}{"Size"[Big]}{"FlyTo"[celadon\main.dat,29,12,10]}
{"PlaceType"[City]}{"Name"[Fuchsia City]}{"MapFiles"[fuchsia\main.dat,fuchsia\center.dat,fuchsia\mart.dat,fuchsia\1.dat,fuchsia\2.dat,fuchsia\safarioffice.dat,gyms\fuchsiagym.dat,gates\fuchsia-15gate.dat,gates\fuchsia-19gate.dat]}{"PlayerPosition"[20,13]}{"Position"[19,13]}{"Size"[Big]}{"FlyTo"[fuchsia\main.dat,19,12,30]}
{"PlaceType"[City]}{"Name"[Cinnabar Island]}{"MapFiles"[cinnabar\main.dat,cinnabar\center.dat]}{"Position"[14,16]}{"Size"[Small]}{"FlyTo"[cinnabar\main.dat,11,12,12]}
{"PlaceType"[City]}{"Name"[Lavender Town]}{"MapFiles"[lavender\main.dat,lavender\mart.dat,lavender\center.dat,lavender\radio.dat,lavender\cemetary.dat,lavender\1.dat,lavender\2.dat,lavender\3.dat]}{"Position"[26,8]}{"Size"[Small]}{"FlyTo"[lavender\main.dat,7,12,6]}
{"PlaceType"[City]}{"Name"[New Bark Town]}{"MapFiles"[barktown.dat,barktown0.dat,yourroom.dat,elmlab.dat,barktown\0.dat,barktown\1.dat]}{"Position"[3,13]}{"Size"[Small]}{"FlyTo"[barktown.dat,19,12,12]}
{"PlaceType"[City]}{"Name"[Blackthorn City]}{"MapFiles"[blackthorn.dat,blackthorn\000.dat,blackthorn\001.dat,blackthorn\002.dat,blackthorn\center.dat,blackthorn\mart.dat,gyms\blackthorn_gym_1.dat,gyms\blackthorn_gym_2.dat]}{"Position"[2,5]}{"Size"[Big]}{"FlyTo"[blackthorn.dat,21,12,30]}


Routes:
{"PlaceType"[Route]}{"Name"[Route 1]}{"MapFiles"[routes\route1.dat]}{"Position"[14,11]}{"Direction"[Vertical]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Route 1]}{"MapFiles"[routes\route1.dat]}{"Position"[14,10]}{"Direction"[Vertical]}{"RouteType"[Land]}

{"PlaceType"[Route]}{"Name"[Route 2]}{"MapFiles"[routes\route2.dat,routes\route2\gate.dat,routes\route2\1.dat]}{"Position"[14,5]}{"Direction"[Vertical]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Route 2]}{"MapFiles"[routes\route2.dat,routes\route2\gate.dat,routes\route2\1.dat]}{"Position"[14,6]}{"Direction"[Vertical]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Route 2]}{"MapFiles"[routes\route2.dat,routes\route2\gate.dat,routes\route2\1.dat]}{"Position"[14,7]}{"Direction"[Vertical]}{"RouteType"[Land]}

{"PlaceType"[Route]}{"Name"[Route 3]}{"MapFiles"[routes\route3.dat]}{"Position"[16,4]}{"PlayerPosition"[17,4]}{"Direction"[Horizontal]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Route 3]}{"MapFiles"[routes\route3.dat]}{"Position"[17,4]}{"PlayerPosition"[17,4]}{"Direction"[Horizontal]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Route 3]}{"MapFiles"[routes\route3.dat]}{"Position"[18,4]}{"PlayerPosition"[17,4]}{"Direction"[Horizontal]}{"RouteType"[Land]}

{"PlaceType"[Route]}{"Name"[Route 4]}{"MapFiles"[routes\route4.dat]}{"Position"[19,4]}{"PlayerPosition"[20,4]}{"Direction"[Horizontal]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Route 4]}{"MapFiles"[routes\route4.dat]}{"Position"[20,4]}{"PlayerPosition"[20,4]}{"Direction"[Horizontal]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Route 4]}{"MapFiles"[routes\route4.dat]}{"Position"[21,4]}{"PlayerPosition"[20,4]}{"Direction"[Horizontal]}{"RouteType"[Land]}

{"PlaceType"[Route]}{"Name"[Route 5]}{"MapFiles"[routes\route5.dat,routes\route5\1.dat]}{"Position"[22,5]}{"Direction"[Vertical]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Route 5]}{"MapFiles"[routes\route5.dat,routes\route5\1.dat]}{"Position"[22,6]}{"Direction"[Vertical]}{"RouteType"[Land]}

{"PlaceType"[Route]}{"Name"[Route 6]}{"MapFiles"[routes\route6.dat]}{"Position"[22,9]}{"Direction"[Vertical]}{"RouteType"[Land]}

