Cities:
{"PlaceType"[City]}{"Name"[New Bark Town]}{"MapFiles"[barktown.dat,barktown0.dat,yourroom.dat,elmlab.dat,barktown\0.dat,barktown\1.dat]}{"Position"[20,13]}{"Size"[Small]}{"FlyTo"[barktown.dat,19,12,12]}
{"PlaceType"[City]}{"Name"[Cherrygrove City]}{"MapFiles"[cherrygrove.dat,cherrygrove_center.dat,cherrygrove_mart.dat,cherrygrove\0.dat,cherrygrove\1.dat,cherrygrove\2.dat]}{"Position"[16,13]}{"PlayerPosition"[17,13]}{"Size"[Horizontal]}{"FlyTo"[cherrygrove.dat,31,12,6]}
{"PlaceType"[City]}{"Name"[Violet City]}{"MapFiles"[violet.dat,violet_center.dat,violet_mart.dat,violet\001.dat,violet\002.dat,violet\school.dat,gyms\violet_gym.dat]}{"Position"[13,8]}{"Size"[Big]}{"FlyTo"[violet.dat,31,12,28]}
{"PlaceType"[City]}{"Name"[Azalea Town]}{"MapFiles"[azalea.dat,gates\azaleailexgate.dat,azalea\0.dat,azalea\center.dat,azalea\kurt.dat,azalea\mart.dat,gyms\azalea_gym.dat]}{"Position"[11,15]}{"Size"[Horizontal]}{"FlyTo"[azalea.dat,15,12,12]}
{"PlaceType"[City]}{"Name"[Goldenrod City]}{"MapFiles"[goldenrod.dat,goldenrod\001.dat,goldenrod\002.dat,goldenrod\bill.dat,goldenrod\center.dat,goldenrod\center_friends.dat,goldenrod\center_global.dat,goldenrod\flowershop.dat,goldenrod\mart.dat,goldenrod\martbasement.dat,goldenrod\namerater.dat,goldenrod\taming_shop.dat,goldenrod\trainstation.dat,goldenrod\underground0.dat,goldenrod\underground1.dat,goldenrod\underground2.dat,goldenrod\underground3.dat,goldenrod\radiotower\1f.dat,goldenrod\radiotower\2f.dat,goldenrod\radiotower\3f.dat,goldenrod\radiotower\4f.dat,goldenrod\radiotower\5f.dat,gyms\goldenrod_gym.dat]}{"Position"[8,11]}{"PlayerPosition"[9,11]}{"Size"[Large]}{"FlyTo"[goldenrod.dat,15,12,28]}
{"PlaceType"[City]}{"Name"[Ecruteak City]}{"MapFiles"[ecruteak.dat,ecruteak\001.dat,ecruteak\002.dat,ecruteak\center.dat,ecruteak\dance_theater.dat,ecruteak\mart.dat,ecruteak\tintowergate1.dat,ecruteak\tintowergate2.dat,ecruteak\tintowergate3.dat,gyms\ecruteak_gym.dat]}{"Position"[10,5]}{"PlayerPosition"[10,6]}{"Size"[Big]}{"FlyTo"[ecruteak.dat,23,12,28]}
{"PlaceType"[City]}{"Name"[Olivine City]}{"MapFiles"[olivine.dat,olivine\001.dat,olivine\002.dat,olivine\003.dat,olivine\center.dat,olivine\mart.dat,gyms\olivine_gym.dat,olivine\Cafe.dat,olivine\dock.dat,olivine\dock_entrance.dat]}{"Position"[7,8]}{"Size"[Big]}{"FlyTo"[olivine.dat,13,12,22]}
{"PlaceType"[City]}{"Name"[Cianwood City]}{"MapFiles"[cianwood.dat,gyms\cianwood_gym.dat,cianwood\000.dat,cianwood\001.dat,cianwood\002.dat,cianwood\003.dat,cianwood\004.dat,cianwood\center.dat,gates\cliffedge.dat]}{"Position"[4,11]}{"PlayerPosition"[4,12]}{"Size"[Vertical]}{"FlyTo"[cianwood.dat,22,12,44]}
{"PlaceType"[City]}{"Name"[Mahogany Town]}{"MapFiles"[mahogany.dat,gyms\mahogany_gym.dat,mahogany\center.dat,mahogany\0.dat,mahogany\shop.dat,gates\mahoganyroute43gate.dat,rocketbase\rocketbase1.dat,rocketbase\rocketbase2.dat,rocketbase\rocketbase3.dat]}{"Position"[15,6]}{"Size"[Small]}{"FlyTo"[mahogany.dat,15,12,14]}
{"PlaceType"[City]}{"Name"[Blackthorn City]}{"MapFiles"[blackthorn.dat,blackthorn\000.dat,blackthorn\001.dat,blackthorn\002.dat,blackthorn\center.dat,blackthorn\mart.dat,gyms\blackthorn_gym_1.dat,gyms\blackthorn_gym_2.dat]}{"Position"[19,5]}{"PlayerPosition"[19,6]}{"Size"[Big]}{"FlyTo"[blackthorn.dat,21,12,30]}

Routes:
{"PlaceType"[Route]}{"Name"[Route 23]}{"MapFiles"[routes\route23.dat,gates\boulder.dat,gates\zephyr.dat]}{"Position"[27,6]}{"PlayerPosition"[27,8]}{"Direction"[VerticalConnection]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Route 23]}{"MapFiles"[routes\route23.dat,gates\boulder.dat,gates\zephyr.dat]}{"Position"[27,7]}{"PlayerPosition"[27,8]}{"Direction"[TLeft]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Route 23]}{"MapFiles"[routes\route23.dat,gates\boulder.dat,gates\zephyr.dat]}{"Position"[27,8]}{"PlayerPosition"[27,8]}{"Direction"[Vertical]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Route 23]}{"MapFiles"[routes\route23.dat,gates\boulder.dat,gates\zephyr.dat]}{"Position"[27,9]}{"PlayerPosition"[27,8]}{"Direction"[Vertical]}{"RouteType"[Land]}

{"PlaceType"[Route]}{"Name"[Route 26]}{"MapFiles"[routes\route26.dat,routes\route26\0.dat,routes\route26\1.dat]}{"Position"[27,10]}{"PlayerPosition"[27,11]}{"Direction"[Vertical]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Route 26]}{"MapFiles"[routes\route26.dat,routes\route26\0.dat,routes\route26\1.dat]}{"Position"[27,11]}{"PlayerPosition"[27,11]}{"Direction"[Vertical]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Route 26]}{"MapFiles"[routes\route26.dat,routes\route26\0.dat,routes\route26\1.dat]}{"Position"[27,13]}{"PlayerPosition"[27,11]}{"Direction"[CurveUpLeft]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Route 26]}{"MapFiles"[routes\route26.dat,routes\route26\0.dat,routes\route26\1.dat]}{"Position"[27,12]}{"PlayerPosition"[27,11]}{"Direction"[Vertical]}{"RouteType"[Land]}

{"PlaceType"[Route]}{"Name"[Route 27]}{"MapFiles"[routes\route27.dat,routes\route27\1.dat]}{"Position"[26,13]}{"PlayerPosition"[24,13]}{"Direction"[Horizontal]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Route 27]}{"MapFiles"[routes\route27.dat,routes\route27\1.dat]}{"Position"[25,13]}{"PlayerPosition"[24,13]}{"Direction"[Horizontal]}{"RouteType"[Land]}
