language_name,Français
---
MainMenuScreen:
main_menu_continue,Continue
main_menu_load_game,Charger partie
main_menu_new_game,Nouvelle partie
main_menu_quit_game,Quitter
LoadScreen:
load_menu_name,Nom  
load_menu_badges,Badges
load_menu_location,Lieu
load_menu_time,Temps
load_menu_back,Retour
load_menu_load,Charger
load_menu_delete,Supprimer
DeleteScreen:
delete_menu_delete_confirm,Do you really want to delete the save
delete_menu_delete,Supprimer
delete_menu_cancel,Annuler
LanguageScreen:
language_menu_apply,Appliquer
language_menu_back,Retour
---
Pausescreen:
pause_menu_title,Menu
pause_menu_back_to_game,Retour au jeu
pause_menu_disconnect,déconnexion
pause_menu_quit_to_menu,Quitter
---
IngameMenu:
game_menu_pokedex,Pokédex
game_menu_party,Pokémon
game_menu_bag,Sac
game_menu_trainer_card,<playername>
game_menu_save,Sauvegarder
game_menu_options,Options
game_menu_exit,Sortir du Menu
---
InventoryScreen:
inventory_menu_bag,Sac
inventory_menu_backadvice,Appuyer sur E pour sortir
inventory_menu_items,Objet
inventory_menu_description,Description
---
NewGameScreen:
new_game_oak_1,Bonjour!~Désolé de l'attente!*Bienvenu dans le monde~des POkéMON!*Mon nom est CHEN.~Mais on m'appelle le~PROF.POKéMON*Ce monde est peuplé de créature appelées POKéMON.
new_game_oak_2*Humains et POKéMON vivent~en parfaite harmonie....~Certain jouent avec les~Pokémon,~d'autre font des combats~avec eux.*Mais il reste encore~beaucoup à apprendre sur~nos amis les POkéMON.~De nombreux mystères planent~à leur sujet.*Et c'est pourquoi j'étudie~les POKéMON tous les jours.*Heu....c'est quoi ton nom déjà?
new_game_oak_3,~ta quête est sur le point~de commencer?*Joies et périls paveront ta route....~Un monde de rêve, de danger et de POKéMON~t'attend!En avant!*A plus tard!
new_game_oak_weird_name_1,Bon! donc ton nom est~
new_game_oak_weird_name_2,!*Hum c'est un~nom bizzare.
new_game_oak_known_name_1,Bon! donc ton nom est~
new_game_oak_known_name_2,!*Hm je suis sur d'avoir~entendu ce nom avant.
new_game_oak_same_name_1,Hey nous avons le même nom.*Mon nom est aussi~
new_game_oak_same_name_2,!
new_game_oak_name_1,Bon! donc ton nom est~
new_game_oak_name_2,!
new_game_your_name,Ton nom
new_game_choose_skin,Choisis ton personnage
new_game_name_too_short,Ce nom est trop court
---
MapScreen:
map_screen_cities,Ville
map_screen_routes,Routes
map_screen_places,Places
---
PokedexScreen:
pokedex_screen_seen,Vu
pokedex_screen_obtained,Obtenu
pokedex_screen_rare,Rare
pokedex_screen_backadvice,Appuie sur E pour sortir
---
PokemonScreen:
pokemon_screen_choose_a_pokemon,Choisie un Pokémon
pokemon_screen_backadvice,Appuie sur E pour sortir
pokemon_screen_item_give,Donner
pokemon_screen_item_take,Prendre
pokemon_screen_item_back,Annuler
pokemon_screen_doesnt_hold_item,~ne tien pas d'objet.
pokemon_screen_take_item_1,Prend 
pokemon_screen_take_item_2, depuis~
pokemon_screen_take_item_3,~et le met dans le~
pokemon_screen_take_item_4, sac!
pokemon_screen_give_item_1,Donne 
pokemon_screen_give_item_2, à~
pokemon_screen_give_item_3,
pokemon_screen_give_item_4,~et le met 
pokemon_screen_give_item_5,~dans l'inventaire.
pokemon_screen_summary,Sommaire
pokemon_screen_switch,Changer
pokemon_screen_item,Objet
pokemon_screen_back,Retour
pokemon_screen_EMPTY,VIDE
---
Pokemon Status Screen:
All pages:
poke_status_screen_nature,Nature
poke_status_screen_backadvice,Appuie sur E pour sortir
poke_status_screen_closeadvice,Appuie sur E pour fermer le menu
poke_status_screen_number,# 
Page 1:
poke_status_screen_all_exp,All Exp
poke_status_screen_nxt_lv,Prochain NV.
poke_status_screen_stats_page,Stats page
Page 2:
poke_status_screen_OT,ID
poke_status_screen_Item,Objet
poke_status_screen_no_item,Pas d'objet
poke_status_screen_ability,Capacités
poke_status_screen_details_page,Détails
Page 3:
poke_status_screen_power,Puissance
poke_status_screen_accuracy,Précision
poke_status_screen_moves_page,Page des Attaques
---
Trainer Card Screen:
trainer_screen_trainer_card,Carte de dresseur
trainer_screen_name,Nom
trainer_screen_points,Points
trainer_screen_money,Argent
trainer_screen_pokedex,Pokédex
trainer_screen_time,Temps
trainer_screen_collected_badges,Collection de badges
trainer_screen_badge,badge
trainer_screen_backadvice,Appuie sur E pour sortir
trainer_screen_empty_badge,???
---
Save Screen:
save_screen_title,Veux-tu sauvergarder ta progression?
save_screen_name,Nom
save_screen_badges,Badges
save_screen_money,Argent
save_screen_time,Temps
save_screen_yes,Oui
save_screen_no,Non
save_screen_success,Sauvegarde réussi!
---
Options Screen:
option_screen_title,Options
option_screen_warning,Les options ne sont pas encore sauvegarder. Descend et choisis "Sauver les options".
