Name|Shelgon
Number|372
ExperienceType|3
BaseExperience|147
Type1|Dragon
Type2|
CatchRate|45
BaseFriendship|35
EggGroup1|Dragon
EggGroup2|None
BaseEggSteps|10455
EggPokemon|371
IsGenderLess|0
CanBreed|1
Devolution|371
IsMale|50
Ability1|69
Ability2|Nothing
HiddenAbility|142
EggMoves|82,111,349,406,407,203,424,56,37,239,421
Machines|29,174,205,46,92,192,249,237,241,173,63,182,240,203,218,225,216,189,104,207,214,126,111,197,156,213,210,25,34,36,38,99,82,102,117,130,157,164,337,280,53,317,332,263,290,406,421,416,445,363,468,496,510,590,15,70,560
TutorMoves|434
BaseHP|65
BaseAttack|95
BaseDefense|100
BaseSpAttack|60
BaseSpDefense|50
BaseSpeed|50
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It surrounds its body in an iron-hard shell to accumulate enough power to evolve.\Endurance Pokémon\110.5\1.1\0,148,0
Scale|1.04
Move|1,99
Move|1,44
Move|1,43
Move|1,29
Move|5,44
Move|10,43
Move|16,29
Move|20,116
Move|25,52
Move|30,182
Move|32,225
Move|37,428
Move|43,184
Move|50,242
Move|55,337
Move|61,38
TradeValue|60
Item|5,144
EvolutionCondition|373,Level,50,Level
