Name|Darumaka
Number|554
ExperienceType|2
BaseExperience|63
Type1|Fire
Type2|
CatchRate|120
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|554
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|55
Ability2|Nothing
HiddenAbility|39
EggMoves|227,203,172,116,264,359,214,289,36,281
Machines|29,174,205,46,92,249,237,241,173,63,182,203,218,76,216,91,189,104,207,214,126,111,197,156,213,168,7,34,36,99,102,117,120,157,164,269,280,53,317,263,290,315,374,261,416,360,445,363,447,369,488,496,510,526,612,590,70
BaseHP|70
BaseAttack|90
BaseDefense|45
BaseSpAttack|15
BaseSpDefense|45
BaseSpeed|50
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|When it sleeps, it pulls its limbs into its body and its internal fire goes down to 1,100 F.\Zen Charm Pokémon\37.5\0.6\0,148,0
Scale|0.84
Move|1,33
Move|3,205
Move|6,510
Move|9,99
Move|11,424
Move|14,29
Move|17,253
Move|19,263
Move|22,7
Move|25,526
Move|27,37
Move|30,187
Move|33,394
Move|35,269
Move|39,276
Move|42,315
TradeValue|25
Item|50,2003
EvolutionCondition|555,level,35,level
