Name|Goodra
Number|706
ExperienceType|3
BaseExperience|270
Type1|Dragon
Type2|None
CatchRate|45
BaseFriendship|35
EggGroup1|Dragon
EggGroup2|
BaseEggSteps|10665
EggPokemon|704
IsGenderLess|0
CanBreed|1
Devolution|705
IsMale|50
Ability1|157
Ability2|93
HiddenAbility|183
EggMoves|151,68,174,203,231,342
Machines|92,258,237,241,58,59,63,182,240,218,85,87,89,216,104,188,482,53,126,263,156,213,496,411,510,416,523,157,525,249,70,611,214,207,164,290,590,401,434,406,7,264,276,9,231,200,351,173,352
TutorMoves|401,434,406,7,264,276,9,231,200,351,173,352
BaseHP|90
BaseAttack|100
BaseDefense|70
BaseSpAttack|110
BaseSpDefense|150
BaseSpeed|80
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|3
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It attacks with retractable horns. It throws a punch that's the equivalent of the force of a hundred pro boxers.\Dragon Pokémon\150.5\2.0\0,148,0
Scale|1.2
Move|1,200
Move|1,364
Move|1,33
Move|1,145
Move|5,71
Move|9,182
Move|13,117
Move|18,225
Move|25,240
Move|28,175
Move|32,34
Move|38,330
Move|47,401
Move|50,406
Move|55,438
Move|63,200
TradeValue|75
