Name|Litwick
Number|607
ExperienceType|2
BaseExperience|55
Type1|Ghost
Type2|Fire
CatchRate|190
BaseFriendship|70
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|5355
EggPokemon|607
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|18
Ability2|49
HiddenAbility|151
EggMoves|499,203,114,257,471,51,151,445
Machines|174,92,244,237,241,173,63,182,203,218,76,216,94,247,104,207,214,126,138,197,156,213,168,171,99,102,117,149,164,347,269,219,53,263,290,315,412,261,373,371,416,445,399,363,433,477,488,496,510,590,148
BaseHP|50
BaseAttack|30
BaseDefense|55
BaseSpAttack|65
BaseSpDefense|55
BaseSpeed|20
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Its flame is usually out, but it starts shining when it absorbs life force from people or Pokémon.\Candle Pokémon\3.1\0.3\0,148,0
Scale|0.7
Move|1,52
Move|1,310
Move|3,107
Move|5,123
Move|7,83
Move|10,109
Move|13,101
Move|16,261
Move|20,481
Move|24,286
Move|28,506
Move|33,262
Move|38,517
Move|43,174
Move|49,247
Move|55,220
Move|61,315
TradeValue|35
EvolutionCondition|608,Level,41,Level
