Name|Kirlia
Number|281
ExperienceType|3
BaseExperience|97
Type1|Psychic
Type2|Fairy
CatchRate|120
BaseFriendship|35
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|5355
EggPokemon|280
IsGenderLess|0
CanBreed|1
Devolution|280
IsMale|50
Ability1|28
Ability2|36
HiddenAbility|140
EggMoves|502,109,194,50,227,288,212,262,581,425,285,485,261
Machines|174,92,244,237,241,230,173,63,196,182,240,203,218,216,94,247,189,104,8,207,214,129,111,9,138,197,156,213,168,7,171,34,36,99,85,100,102,115,117,118,86,149,161,164,347,269,113,219,351,259,263,290,285,289,374,451,261,278,416,445,363,447,433,473,477,496,497,502,605,590,148
BaseHP|38
BaseAttack|35
BaseDefense|35
BaseSpAttack|65
BaseSpDefense|55
BaseSpeed|50
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|2
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It has a psychic power that enables it to distort the space around it and see into the future.\Emotion Pokémon\20.2\0.8\0,148,0
Scale|0.92
Move|1,45
Move|1,93
Move|1,104
Move|1,100
Move|6,93
Move|10,104
Move|12,100
Move|17,381
Move|22,345
Move|25,505
Move|31,347
Move|36,94
Move|39,286
Move|45,248
Move|50,204
Move|53,95
Move|59,138
Move|64,500
TradeValue|25
EvolutionCondition|282,level,30,level
EvolutionCondition|475,gender,0,item
EvolutionCondition|475,item,137,item
