Name|Deino
Number|633
ExperienceType|3
BaseExperience|60
Type1|Dark
Type2|Dragon
CatchRate|45
BaseFriendship|35
EggGroup1|Dragon
EggGroup2|None
BaseEggSteps|10455
EggPokemon|633
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|55
Ability2|Nothing
HiddenAbility|Nothing
EggMoves|372,310,399,458,414,424,457,423,103,422
Machines|29,174,46,92,249,244,237,241,173,63,182,240,203,218,225,216,104,207,214,197,156,213,168,171,34,36,99,82,102,117,130,86,164,269,259,263,290,406,416,445,399,363,496,510,525,526,590,70
TutorMoves|434
BaseHP|52
BaseAttack|65
BaseDefense|50
BaseSpAttack|45
BaseSpDefense|50
BaseSpeed|38
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Lacking sight, it's unaware of its surroundings, so it bumps into things and eats anything that moves.\Irate Pokémon\17.3\0.8\0,148,0
Scale|0.92
Move|1,33
Move|1,82
Move|4,116
Move|9,44
Move|12,29
Move|17,225
Move|20,46
Move|25,242
Move|28,21
Move|32,406
Move|38,526
Move|42,407
Move|48,34
Move|50,184
Move|58,304
Move|62,200
TradeValue|40
EvolutionCondition|634,Level,50,Level
