Name|Zweilous
Number|634
ExperienceType|3
BaseExperience|147
Type1|Dark
Type2|Dragon
CatchRate|45
BaseFriendship|35
EggGroup1|Dragon
EggGroup2|None
BaseEggSteps|10455
EggPokemon|633
IsGenderLess|0
CanBreed|1
Devolution|633
IsMale|50
Ability1|55
Ability2|Nothing
HiddenAbility|Nothing
EggMoves|372,310,399,458,414,424,457,423,103,422
Machines|29,174,46,92,192,249,244,237,241,173,63,182,240,203,218,225,216,104,207,214,197,156,213,168,171,34,36,38,99,82,102,117,130,86,164,352,269,259,263,290,406,416,445,399,363,496,510,525,526,590,70,560
TutorMoves|434
BaseHP|72
BaseAttack|85
BaseDefense|70
BaseSpAttack|65
BaseSpDefense|70
BaseSpeed|58
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|The two heads do not get along. Whichever head eats more than the other gets to be their leader.\Hostile Pokémon\50\1.4\0,148,0
Scale|1.16
Move|1,458
Move|1,82
Move|1,116
Move|1,44
Move|4,116
Move|9,44
Move|12,29
Move|17,225
Move|20,46
Move|25,242
Move|28,21
Move|32,406
Move|38,526
Move|42,407
Move|48,34
Move|55,184
Move|64,304
Move|71,200
TradeValue|60
EvolutionCondition|635,Level,64,Level
