Name|Bidoof
Number|399
ExperienceType|1
BaseExperience|50
Type1|Normal
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Field
BaseEggSteps|4080
EggPokemon|399
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|86
Ability2|109
HiddenAbility|141
EggMoves|401,111,38,203,154,316,98,431,205,130,214,346
Machines|29,174,205,92,249,237,241,173,59,63,196,182,240,203,218,231,87,216,91,247,189,104,207,214,129,111,197,156,213,168,210,34,36,61,55,58,6,99,85,102,117,130,86,164,269,351,263,290,451,416,446,445,363,447,365,496,497,514,526,590,15
BaseHP|59
BaseAttack|45
BaseDefense|40
BaseSpAttack|35
BaseSpDefense|40
BaseSpeed|31
FPHP|1
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It lives in groups by the water.  It chews up boulders and trees around its nest with its incisors.\Plump Mouse Pokémon\20\0.5\0,148,0
Scale|0.7
Move|1,33
Move|5,45
Move|9,111
Move|13,205
Move|17,29
Move|21,158
Move|25,281
Move|29,133
Move|33,36
Move|37,162
Move|41,276
Move|45,174
TradeValue|5
Item|5,2006
EvolutionCondition|400,Level,15,Level
