Name|Staravia
Number|397
ExperienceType|2
BaseExperience|119
Type1|Normal
Type2|Flying
CatchRate|120
BaseFriendship|70
EggGroup1|Flying
EggGroup2|None
BaseEggSteps|4080
EggPokemon|396
IsGenderLess|0
CanBreed|1
Devolution|396
IsMale|50
Ability1|22
Ability2|Nothing
HiddenAbility|120
EggMoves|310,197,38,297,193,119,31,228,279,355,211,253
Machines|174,92,237,241,173,63,182,203,218,216,189,104,207,214,129,197,156,213,168,211,13,18,36,99,102,117,143,164,332,263,290,355,416,432,445,363,365,369,496,497,514,526,590,19
BaseHP|55
BaseAttack|75
BaseDefense|50
BaseSpAttack|40
BaseSpDefense|40
BaseSpeed|80
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|They maintain huge flocks fierce scuffles break out between various flocks.\Starling Pokémon\15.5\0.6\0,148,0
Scale|0.84
Move|1,33
Move|1,45
Move|1,98
Move|5,98
Move|9,17
Move|13,104
Move|18,283
Move|23,18
Move|28,332
Move|33,36
Move|38,97
Move|43,413
Move|48,515
TradeValue|20
Item|5,2039
EvolutionCondition|398,Level,34,Level
