Name|Omastar
Number|139
ExperienceType|1
BaseExperience|173
Type1|Rock
Type2|Water
CatchRate|45
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Water3
BaseEggSteps|7905
EggPokemon|138
IsGenderLess|0
CanBreed|1
Devolution|138
IsMale|87.5
Ability1|33
Ability2|75
HiddenAbility|133
EggMoves|62,117,61,114,282,330,513,21,191,48,390,352,250,378,157
Machines|29,174,205,92,249,237,173,59,63,196,182,240,203,218,216,104,207,214,197,156,213,168,32,34,36,38,61,55,58,66,69,99,102,117,130,157,164,352,317,263,290,362,416,397,444,360,446,445,363,479,496,503,590,57,250,127,431,291
BaseHP|70
BaseAttack|60
BaseDefense|125
BaseSpAttack|115
BaseSpDefense|70
BaseSpeed|55
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Apparently shell with its sharp fangs and sucked out the insides.\Spiral Pokémon\35\1\0,148,0
Scale|1
Move|1,56
Move|1,132
Move|1,110
Move|1,44
Move|7,44
Move|10,55
Move|16,205
Move|19,43
Move|25,341
Move|28,362
Move|34,182
Move|37,246
Move|40,131
Move|48,321
Move|56,350
Move|67,504
Move|75,56
TradeValue|75
