Name|Gogoat
Number|673
ExperienceType|1
BaseExperience|186
Type1|Grass
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|672
IsGenderLess|0
CanBreed|1
Devolution|672
IsMale|50
Ability1|157
Ability2|Nothing
HiddenAbility|179
EggMoves|111,208,205
Machines|174,46,92,249,237,241,173,63,182,202,203,218,76,89,216,91,189,104,207,214,129,197,156,213,25,32,34,36,38,68,99,72,102,117,130,157,164,339,331,269,280,332,263,290,412,371,416,445,363,447,496,514,523,528,267,590,57,70,431,560
BaseHP|123
BaseAttack|100
BaseDefense|62
BaseSpAttack|97
BaseSpDefense|81
BaseSpeed|68
FPHP|2
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It can tell how its trainer is feeling by subtle shifts in the grip on its horns. This empathetic sense lets them run as if one being.\Mount Pokémon\91.0\1.7\0,148,0
Scale|0.6
Move|1,332
Move|1,33
Move|1,74
Move|7,22
Move|9,39
Move|12,73
Move|13,75
Move|16,388
Move|20,235
Move|22,36
Move|26,523
Move|30,402
Move|34,339
Move|40,38
Move|47,532
Move|55,348
Move|58,208
Move|60,89
Move|65,332
TradeValue|50
