Name|Yveltal
Number|717
ExperienceType|3
BaseExperience|306
Type1|Dark
Type2|Flying
CatchRate|45
BaseFriendship|70
EggGroup1|None
EggGroup2|None
BaseEggSteps|30855
EggPokemon|717
IsGenderLess|1
CanBreed|0
Devolution|0
IsMale|0
Ability1|186
Ability2|Nothing
HiddenAbility|Nothing
Machines|174,92,192,237,241,173,63,182,203,218,231,216,94,247,104,207,214,138,197,156,213,168,211,171,13,18,36,38,68,69,99,82,102,117,143,157,161,164,337,269,332,259,263,290,285,289,355,411,406,373,421,416,432,445,399,363,365,369,468,496,507,512,555,590,15,19,560
BaseHP|126
BaseAttack|131
BaseDefense|95
BaseSpAttack|131
BaseSpDefense|98
BaseSpeed|99
FPHP|3
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|1
CanSwim|0
Pokedex|When its life comes to an end, it absorbs the life energy of every living thing and turns into a cocoon once more.\Destruction Pokémon\203.0\5.8\0,148,0
Scale|1.2
Move|1,542
Move|1,13
Move|1,269
Move|1,355
Move|5,104
Move|10,403
Move|18,555
Move|26,613
Move|35,50
Move|44,399
Move|51,492
Move|55,566
Move|59,94
Move|63,407
Move|72,411
Move|80,389
Move|88,63
Move|93,143
TradeValue|100
