Name|Herdier
Number|507
ExperienceType|2
BaseExperience|130
Type1|Normal
Type2|
CatchRate|120
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|4080
EggPokemon|506
IsGenderLess|0
CanBreed|1
Devolution|506
IsMale|50
Ability1|22
Ability2|146
HiddenAbility|113
EggMoves|495,204,203,424,336,423,122,189,228,28,422,281
Machines|174,205,46,92,249,237,241,173,63,182,203,218,216,189,104,207,214,129,111,197,156,213,210,25,34,36,6,99,102,117,130,164,352,351,263,290,416,445,363,496,526,528,555,590,57,70
BaseHP|65
BaseAttack|80
BaseDefense|65
BaseSpAttack|35
BaseSpDefense|65
BaseSpeed|60
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|This very loyal Pokémo helps trainers, and it also takes care of other Pokémon.\Loyal Dog Pokémon\14.7\0.9\0,148,0
Scale|0.96
Move|1,43
Move|1,33
Move|5,316
Move|8,44
Move|12,270
Move|15,36
Move|20,526
Move|24,242
Move|29,46
Move|33,514
Move|38,179
Move|42,387
Move|47,416
Move|52,583
TradeValue|25
EvolutionCondition|508,Level,32,Level
