Name|Braviary
Number|628
ExperienceType|3
BaseExperience|179
Type1|Normal
Type2|Flying
CatchRate|60
BaseFriendship|70
EggGroup1|Flying
EggGroup2|None
BaseEggSteps|5355
EggPokemon|627
IsGenderLess|0
CanBreed|1
Devolution|627
IsMale|100
Ability1|51
Ability2|125
HiddenAbility|128
Machines|174,92,249,237,241,173,63,182,203,218,216,104,207,214,197,156,213,211,13,18,36,38,69,99,102,117,143,164,332,263,290,355,416,432,445,363,365,468,496,507,526,590,15,19,70
BaseHP|100
BaseAttack|123
BaseDefense|75
BaseSpAttack|57
BaseSpDefense|75
BaseSpeed|80
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|For the sake of its friends, this brave warrior of the sky will not stop battling, even if injured.\Valiant Pokémon\41\1.5\0,148,0
Scale|1.2
Move|1,37
Move|1,413
Move|1,18
Move|1,276
Move|1,64
Move|1,43
Move|1,31
Move|1,17
Move|5,31
Move|10,17
Move|14,468
Move|19,184
Move|23,332
Move|28,163
Move|32,432
Move|37,366
Move|41,403
Move|46,306
Move|50,507
Move|51,276
Move|57,18
Move|63,413
Move|70,37
TradeValue|60
