Name|Panpour
Number|515
ExperienceType|1
BaseExperience|63
Type1|Water
Type2|
CatchRate|190
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|515
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|87.5
Ability1|82
Ability2|Nothing
HiddenAbility|67
EggMoves|392,401,310,343,574,56,67,300,417,272,321
Machines|174,205,92,249,237,173,59,63,196,182,240,203,218,231,216,91,189,104,8,207,214,111,197,156,213,168,36,61,55,58,6,68,99,102,117,118,164,352,258,269,317,259,263,290,362,374,421,371,278,416,445,363,447,468,490,496,503,512,526,590,57,250,127,291
BaseHP|50
BaseAttack|53
BaseDefense|48
BaseSpAttack|53
BaseSpDefense|48
BaseSpeed|64
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|The water stored inside the tuft on its head is full of nutrients. It waters plants with it using its tail.\Spray Pokémon\13.5\0.6\0,148,0
Scale|0.84
Move|1,10
Move|1,589
Move|4,43
Move|7,122
Move|10,55
Move|13,154
Move|16,346
Move|19,44
Move|22,503
Move|25,269
Move|28,374
Move|31,512
Move|34,362
Move|37,278
Move|40,363
Move|43,242
TradeValue|15
Item|5,2038
Item|50,2006
EvolutionCondition|516,item,24,item
