Name|Weavile
Number|461
ExperienceType|2
BaseExperience|179
Type1|Dark
Type2|Ice
CatchRate|45
BaseFriendship|35
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|215
IsGenderLess|0
CanBreed|1
Devolution|215
IsMale|50
Ability1|46
Ability2|Nothing
HiddenAbility|124
EggMoves|223,29,174,92,249,244,237,241,173,59,63,196,182,240,203,218,231,216,91,247,189,104,8,207,214,129,111,138,197,156,213,168,210,171,14,36,58,6,68,99,102,115,117,130,164,264,347,258,269,280,332,259,263,290,289,206,374,373,421,371,416,419,445,399,404,363,398,468,490,496,514,555,612,590,15,57,70,250
Machines|223,174,92,249,244,237,241,173,59,63,196,182,203,218,231,216,91,247,189,104,8,207,214,129,138,197,156,213,168,210,5,14,36,58,6,68,99,102,115,117,130,164,264,347,258,269,280,332,259,263,290,289,411,206,374,373,421,371,416,419,445,399,363,398,468,490,496,555,612,590,15,57,70,250
BaseHP|70
BaseAttack|120
BaseDefense|65
BaseSpAttack|45
BaseSpDefense|85
BaseSpeed|125
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|It lives in snowy regions. It carves patterns in trees with its claws as a signal to others.\Sharp Claw Pokémon\34\1.1\0,148,0
Scale|1.04
Move|1,373
Move|1,279
Move|1,372
Move|1,10
Move|1,43
Move|1,269
Move|1,98
Move|8,98
Move|10,185
Move|14,196
Move|16,154
Move|20,417
Move|22,232
Move|25,468
Move|28,374
Move|32,103
Move|35,400
Move|40,289
Move|44,386
Move|47,399
TradeValue|50
Item|5,73
Item|50,176
