language_name,Swedish
---
MainMenuScreen:
main_menu_continue,Fortsätt
main_menu_load_game,Ladda spel
main_menu_new_game,Nytt spel
main_menu_quit_game,Avsluta spel
LoadScreen:
load_menu_name,Namn
load_menu_badges,Märken
load_menu_location,Plats
load_menu_time,Tid
load_menu_back,Tillbaka
load_menu_load,Ladda
load_menu_delete,Ta bort
DeleteScreen:
delete_menu_delete_confirm,Vill du verkligen to bort sparningen
delete_menu_delete,Ta bort
delete_menu_cancel,Avbryt
LanguageScreen:
language_menu_apply,Applicera
language_menu_back,Tillbaka
---
Pausescreen:
pause_menu_title,Spel meny
pause_menu_back_to_game,Tillbaka till spelet
pause_menu_disconnect,Koppla bort
pause_menu_quit_to_menu,Avsluta till huvudmenyn
pause_menu_autosave_fail,Kan inte skapa automatisk sparning.
---
IngameMenu:
game_menu_pokedex,Pokédex
game_menu_party,Pokémon
game_menu_bag,Ryggsäck
game_menu_trainer_card,<playername>
game_menu_save,Spara
game_menu_options,Alternativ
game_menu_exit,Avsluta menyn
---
InventoryScreen:
inventory_menu_bag,Ryggsäck
inventory_menu_backadvice,TRYCK E FÖR ATT GÅ TILLBAKA
inventory_menu_items,Objekt
inventory_menu_description,Beskrivning
---
NewGameScreen:
new_game_oak_1,Hej!~Ursäkta att låta dig vänta!*Välkommen till världen~av Pokemon!*Mitt namn är Oak.~Folk kallar mig för ~Pokémon professorn.*Denna värld är bebodd~av varselser som vi kallar för
new_game_oak_2,Pokémon.*Folk och Pokémon lever~tillsammans genom att~stötta varandra.~Vissa folk leker med Pokémon,~andra strider med dem.*Men vi vet inte allt om~Pokémon än.~Det är fortfarande många~mysterier kvar att lösa.*Därför studerar jag Pokémon~varje dag.*Nu så, vad sade du~ditt namn var?
new_game_oak_3,~är du redo?*Ditt helt egna~Pokémon äventyr är påväg~att börja.*Du kommer ha roliga~tider och utsättas för ~svåra utmaningar.~En värld av drömmar och~äventyr med Pokémon~väntar!*Låt oss börja!*Jag kommer se~dig senare!
new_game_oak_weird_name_1,Okay! Så ditt namn är~
new_game_oak_weird_name_2,!*Hmm, det är ett~udda namn.
new_game_oak_known_name_1,Okay! Så ditt namn är~
new_game_oak_known_name_2,!*Hmm, jag är säker jag~har hört detta namn innan.
new_game_oak_same_name_1,Åh, vi har~samma namn.*Mitt namn är också~
new_game_oak_same_name_2,!
new_game_oak_name_1,Okay! Så ditt namn är~
new_game_oak_name_2,!
new_game_your_name,Ditt namn
new_game_choose_skin,Välj utseende
new_game_name_too_short,Det här namnet är för kort.
---
MapScreen:
map_screen_cities,Städer
map_screen_routes,Rutter
map_screen_places,Platser
---
PokedexScreen:
pokedex_screen_seen,Sedda
pokedex_screen_obtained,Införskaffade
pokedex_screen_rare,Sällsynta
pokedex_screen_backadvice,TRYCK E FÖR ATT GÅ TILLBAKA
---
PokemonScreen:
pokemon_screen_choose_a_pokemon,Välj en Pokémon
pokemon_screen_backadvice,TRYCK E FÖR ATT GÅ TILLBAKA
pokemon_screen_item_give,Ge
pokemon_screen_item_take,Ta
pokemon_screen_item_back,Tillbaka
pokemon_screen_doesnt_hold_item,~håller inte ett objekt.
pokemon_screen_take_item_1,Tog 
pokemon_screen_take_item_2, från~
pokemon_screen_take_item_3,~och lade det i~
pokemon_screen_take_item_4, fickan!
pokemon_screen_give_item_1,gav 
pokemon_screen_give_item_2, till~
pokemon_screen_give_item_3,
pokemon_screen_give_item_4,~och lade 
pokemon_screen_give_item_5,~tillbaka till lagret.
pokemon_screen_summary,Sammanfattning
pokemon_screen_switch,Byt
pokemon_screen_item,Objekt
pokemon_screen_back,Tillbaka
pokemon_screen_EMPTY,TOM
---
Pokemon Status Screen:
All pages:
poke_status_screen_nature,Beteende
poke_status_screen_backadvice,TRYCK E FÖR ATT GÅ TILLBAKA
poke_status_screen_closeadvice,TRYCK E FÖR ATT STÄNGA
poke_status_screen_number,# 
Page 1:
poke_status_screen_all_exp,All exp
poke_status_screen_nxt_lv,Nästa Lv.
poke_status_screen_stats_page,Statistik sida
Page 2:
poke_status_screen_OT,OT
poke_status_screen_Item,Objekt
poke_status_screen_no_item,inget objekt
poke_status_screen_ability,Förmåga
poke_status_screen_details_page,Detalj sida
Page 3:
poke_status_screen_power,Kraft
poke_status_screen_accuracy,Träffchans
poke_status_screen_moves_page,Drag sida
---
Trainer Card Screen:
trainer_screen_trainer_card,Tränarkort
trainer_screen_name,Namn
trainer_screen_points,Poäng
trainer_screen_money,Pengar
trainer_screen_pokedex,Pokédex
trainer_screen_time,Tid
trainer_screen_collected_badges,Samlade märken
trainer_screen_badge,märke
trainer_screen_backadvice,TRYCK E FÖR ATT GÅ TILLBAKA
trainer_screen_empty_badge,???
---
Save Screen:
