language_name,Lithuanian
---
MainMenuScreen:
main_menu_continue,Tęsti Žaidimą
main_menu_load_game,Ankstesnis Žaidimas
main_menu_new_game,Naujas Žaidimas
main_menu_quit_game,Išeiti iš Žaidimo
LoadScreen:
load_menu_name,Vardas
load_menu_badges,Ženkliukai
load_menu_location,Vietovė
load_menu_time,Laikas
load_menu_back,Atgal
load_menu_load,Pakrauti
load_menu_delete,Ištrinti
load_menu_gamemode,GameMode
DeleteScreen:
delete_menu_delete_confirm,Ar iš tikrųjų norite ištrinti savo išsaugotą žaidimą.
delete_menu_delete,Ištrinti
delete_menu_cancel,Atšaukti
LanguageScreen:
language_menu_apply,Patvirtinti
language_menu_back,Atgal
PacksScreen:
pack_menu_up,Į Viršų
pack_menu_down,Į Apačią
pack_menu_toggle_on,Įjungti
pack_menu_toggle_off,Išjungti
pack_menu_information,Informacija
pack_menu_enabled,Įjungta
pack_menu_apply,Patvirtinti
pack_menu_back,Atgal
pack_menu_songs,Dainos
pack_menu_sounds,Garsai
pack_menu_textures,Tekstūros
pack_menu_name,Pavadinimas
pack_menu_version,Versija
pack_menu_by,Pavadinimas
pack_menu_content,Turinys
pack_menu_description,Aprašymas
---
GameModeMenu:
gamemode_menu_name,Pavadinimas
gamemode_menu_description,Aprašymas
gamemode_menu_version,Versija
gamemode_menu_author,Autorius
gamemode_menu_contentpath,ContentPath
gamemode_menu_create,Sukurti
gamemode_menu_back,Atgal
---
Pausescreen:
pause_menu_title,Žaidimo meniu
pause_menu_back_to_game,Grįžti į žaidimą
pause_menu_disconnect,Atjungti
pause_menu_quit_to_menu,Išeiti į meniu
pause_menu_autosave_fail,Nepavyko automatiškai išsaugti žaidimo.
pause_menu_yes,Taip
pause_menu_no,Ne
pause_menu_confirmation,Ar tikrai norite išjungti esamą žaidimą? Neišsaugotas prograsas bus prarastas.
---
IngameMenu:
game_menu_pokedex,Pokedeksas
game_menu_party,Pokemonai
game_menu_bag,Kuprinė/Rankinė
game_menu_trainer_card,<playername>
game_menu_save,Išsaugoti Žaidimą
game_menu_options,Nustatymai
game_menu_exit,Išeiti iš Meniu
---
InventoryScreen:
inventory_menu_bag,Kuprinė/Rankinė
inventory_menu_backadvice,PASPAUDE E GRĮŠITE ATGAL
inventory_menu_items,Daiktai
inventory_menu_description,Aprašymas
---
NewGameScreen:
new_game_oak_1,Hello!~Sorry to keep~you waiting!*Welcome to the world~of Pokémon!*My name is Oak.~People call me~Pokémon Prof.*This world is inhabited~by creatures that~we call
new_game_oak_2,Pokémon.*People and Pokémon live~together by supporting~each other.~Some people play with~Pokémon,~some battle with them.*But we don't know~everything about~Pokémon yet.~There are still many~mysteries to solve.*That's why I study~Pokémon every day.*Now, what did you~say your name was?
new_game_oak_3,~are you ready?*Your very own~Pokémon story is about~to unfold.*You'll face fun~times and tough~challenges.~A world of dreams and~adventures with Pokémon~awaits!*Let's go!*I'll be seeing~you later!
new_game_oak_weird_name_1,Right! So your name is~
new_game_oak_weird_name_2,!*Hm that is a~weird name.
new_game_oak_known_name_1,Right! So your name is~
new_game_oak_known_name_2,!*Hm I am sure I~heard this name before.
new_game_oak_same_name_1,Hey we got the~same names.*My name is also~
new_game_oak_same_name_2,!
new_game_oak_name_1,Right! So your name is~
new_game_oak_name_2,!
new_game_your_name,Your name
new_game_choose_skin,Choose skin
new_game_name_too_short,This name is too short
---
MapScreen:
map_screen_cities,Miestai
map_screen_routes,Maršrutai
map_screen_places,Vietovės
map_screen_roaming,Klajokliai
---
PokedexScreen:
pokedex_screen_seen,Matyti
pokedex_screen_obtained,Pagauti
pokedex_screen_rare,Retas
pokedex_screen_backadvice,PASPAUDE E GRĮŠITE ATGAL
---
PokemonScreen:
pokemon_screen_choose_a_pokemon,Pasirinkite Pokemoną
pokemon_screen_backadvice,PASPAUDE E GRĮŠITE ATGAL
pokemon_screen_item_give,Duoti
pokemon_screen_item_take,Atsiimti
pokemon_screen_item_back,Atgal
pokemon_screen_doesnt_hold_item,~neturi jokio daikto.
pokemon_screen_take_item_1,Atsiėmiai 
pokemon_screen_take_item_2, iš~
pokemon_screen_take_item_3,~ir pasidėjai~
pokemon_screen_take_item_4, į kuprinę/rankinę!
pokemon_screen_give_item_1,Daviai 
pokemon_screen_give_item_2, ~
pokemon_screen_give_item_3,
pokemon_screen_give_item_4,~ir pasidėjai 
pokemon_screen_give_item_5,~atgal į kuprinę/rankinę.
pokemon_screen_summary,Suvestinė
pokemon_screen_switch,Pozicija
pokemon_screen_item,Daiktas
pokemon_screen_back,Atgal
pokemon_screen_EMPTY,TUŠČIA
---
Pokemon Status Screen:
All pages:
poke_status_screen_nature,Prigimtis
