1,2,3|1|73,77,75,45|spatk,def|
4,5,6|4|82,108,424,83|spatk,speed|
7,8,9|7|10,55,110,44|atk,def|
10,11,12|10|33,81,450|atk,speed|
13,14,15|13|40,81,450|atk,speed|
16,17,18|16|239,16,28,98|atk,speed|
19,20|19|98,44,116,39|atk,speed|
21,22|21|64,31,228,97|atk,def|
23,24|23|51,137,44,92|spatk,def|
25,26,172|25|609,84,98,104|spatk,speed|
27,28|27|205,210,222,111|def,speed|
29,30,31|29|24,40,154,39|atk,hp|
32,33,34|32|43,64,40,24|atk,hp|
35,36,173|35|574,3,107,1|def,hp|
37,38|37|83,52,109,98|spatk,speed|
39,40,174|39|47,34,574,111|hp,spdef|
41,42,169|41|141,48,17,305|atk,speed|
43,44,45,182|43|51,71,77,182|def,spatk|
46,47|46|78,163,72,210|spatk,spdef|
48,49|48|48,141,93,305|atk,def|
50,51|50|189,28,10,91|atk,speed|
52,53|52|185,10,44,45|atk,speed|
54,55|54|55,93,39,154|def,spdef|
56,57|56|2,116,154,43|atk,speed|
58,59|58|44,52,36,172|atk,spatk|
60,61,62,186|60|55,341,95,3|spatk,speed|
63,64,65|63|93,115|spatk,speed|
66,67,68|66|43,2,116,279|atk,def|
69,70,71|69|22,79,51,74|spatk,spdef|
72,73|72|61,491,112,48|spatk,spdef|
74,75,76|74|88,222,397,111|def,spdef|
77,78|77|172,23,39,98|atk,speed|
79,80,199|79|281,55,93,29|spatk,spdef|
81,82,462|81|84,443,86,48|spatk,speed|
83|83|43,210,31,332|atk,speed|
84,85|84|98,253,64,97|atk,def|
86,87|86|196,453,29,156|atk,def|
88,89|88|139,189,107,124|spatk,def|
90,91|90|128,110,333,43|atk,def|
92,93,94|92|95,122,109,92|spatk,speed|
95,208|95|88,174,106,99|def,spdef|
96,97|96|93,29,95,96|spatk,spdef|
98,99|98|145,11,43,106|atk,def|
100,101|100|268,33,209,205|spatk,speed|
102,103|102|140,95,331,73|spatk,def|
104,105|104|125,39,45,29|atk,def|
106|106|24,96,116,26|atk,speed|
107|107|4,228,183,97|def,speed|
108,463|108|122,35,48,282|def,spdef|
109,110|109|139,372,108,123|spatk,hp|
111,112,464|111|30,31,39,350|def,hp|
113,242,440|113|111,135,3,39|def,hp|
114,465|114|132,22,71,79|spatk,spdef|
115|115|252,4,44,43|atk,def|
116,117,230|116|145,108,43,127|atk,spatk|
118,119|118|30,64,55,39|atk,speed|
120,121|120|229,105,55,106|atk,speed|
122,439|122|93,96,3,112|def,spdef|
123,212|123|98,228,210,10|atk,speed|
124,238|124|122,181,142,1|spatk,atk|
125,239,466|125|84,67,98,43|spatk,def|
126,240,467|126|52,123,185,108|spatk,spdef|
127|127|11,116,522,69|atk,def|
128|128|39,30,99,228|atk,speed|
129,130|129|150,33,175|def,speed|
131|131|55,109,420,47|spatk,spdef|
132|132|144|hp,speed|
133,134,135,136,196,197,470,471,700|133|39,98,44,45|atk,speed|
137,233,474|137|159,60,105,218|atk,speed|
138,139|138|110,55,205,44|atk,def|
140,141|140|106,341,10,71|atk,def|
142|142|17,44,184,97|atk,def|
143,446|143|122,111,281,498|hp,def|
144|144|355,84,197,64|spatk,speed|
145|145|355,84,197,64|spatk,speed|
146|146|83,52,17,97|spatk,speed|
147,148,149|147|86,239,21,43|atk,def|
150|150|244,93,219,347|spatk,speed|
151|151|513,5,94,112|spatk,speed|
152,153,154|152|75,235,77,45|def,spatk|
155,156,157|155|98,52,108,43|spdef,spatk|
158,159,160|158|55,44,10,43|atk,spatk|
161,162|161|98,111,21,468|atk,def|
163,164|163|33,95,64,253|atk,speed|
165,166|165|4,113,112,48|spdef,hp|
167,168|167|132,141,425,81|atk,spatk|
170,171|170|48,86,84,55|spatk,speed|
175,176,468|175|204,281,246,38|def,spdef|
177,178|177|64,101,43,109|atk,speed|
179,180,181|179|33,84,86,178|spatk,hp|
183,184,298|183|145,205,39,111|spatk,spdef|
185,438|185|88,175,67,21|def,atk|
187,188,189|187|235,584,33,78|spatk,spdef|
190,424|190|10,39,310,31|atk,spdef|
191,192|191|71,275,320,73|spatk,def|
193,469|193|98,104,197,48|speed,atk|
194,195|194|55,39,341,21|spatk,hp|
198,430|198|64,228,114,17|atk,speed|
200,429|200|149,310,109,45|spatk,speed|
201|201|237|spatk,spdef|
202,360|360|68,219,243,194|def,spdef|
203|203|310,33,45,93|spatk,atk|
204,205|204|33,182,450,229|def,speed|
206|206|111,205,99,281|hp,spdef|
207,472|207|40,28,98,282|atk,speed|
209,210|209|44,204,122,33|atk,def|
211|211|191,40,107,106|atk,def|
213|213|110,111,205,522|def,spdef|
214|214|30,31,332,203|spdef,def|
215,461|215|98,185,43,10|atk,speed|
216,217|216|10,122,313,43|atk,spdef|
218,219|218|281,52,88,123|spatk,spdef|
220,221,473|220|181,33,189,203|spatk,def|
222|222|106,33,145,246|def,hp|
223,224|223|55,62,61,60|spatk,speed|
225|225|217|def,spdef|
226,458|226|61,109,29,17|spatk,atk|
