language_name,Türkçe
---
MainMenuScreen:
main_menu_continue,Devam et
main_menu_load_game,Kayitli Oyun
main_menu_new_game,Yeni Oyun
main_menu_quit_game,Oyundan Çik
LoadScreen:
load_menu_name,Isim
load_menu_badges,Rozetler
load_menu_location,Konum
load_menu_time,Zaman
load_menu_back,Geri
load_menu_load,Yükle
load_menu_delete,Sil
DeleteScreen:
delete_menu_delete_confirm,Kayitli oyunu silmek istediginize eminmisiniz
delete_menu_delete,Sil
delete_menu_cancel,Iptal
LanguageScreen:
language_menu_apply,Uygula
language_menu_back,Geri
---
Pausescreen:
pause_menu_title,Oyun menüsü
pause_menu_back_to_game,Oyuna dön
pause_menu_disconnect,Baglantiyi kes
pause_menu_quit_to_menu,Menüye Dön
---
IngameMenu:
game_menu_pokedex,Pokédex
game_menu_party,Pokémon
game_menu_bag,Çanta
game_menu_trainer_card,<Player.Name>
game_menu_save,Kaydet
game_menu_options,Seçenekler
game_menu_exit,Menüye dön
---
InventoryScreen:
inventory_menu_bag,Çanta
inventory_menu_backadvice,GERI DÖNMEK IÇIN E'YE BAS
inventory_menu_items,Esyalar
inventory_menu_description,Tanimlama
---
NewGameScreen:
new_game_oak_1,Merhaba!~Beklettigim için~kusura bakma!*Pokémon dünyasina~Hosgeldin!*Benim adim Oak.~Insanlar beni~Pokémon Profesörü~diye tanimlar.*Bu dünyada~Bizim Pokémon~olarak adlandirdigimiz
new_game_oak_2,canlilar yasar.*Insanlar ve Pokémonlar~birbirine destek~olarak yasar.~Bazi insanlar~Pokémon'la oynar,~bazilari savasmak için kullanir.*Ama suan Pokémon~hakkinda herseyi~bilmiyoruz.~Halen onlar hakkinda~bilmedigimiz çok sey var.*Iste bu yüzden ben~hergün Pokémon'lar hakkinda~çalisiyorum.*Pekala, Adim ne~demistin?
new_game_oak_3,~Hazirmisin?*Kendi Pokémon hikayen~baslamak üzere.*Eglenecegin ve~zorlu mücadeleler ile~karsilasicagin.~Rüyalarinin dünyasi~ve Pokémonlar ile maceralarin~basliyor!*simdi devam et!*Daha sonra~görüsmek üzere!
new_game_oak_weird_name_1,Evet! Yani senin adin~
new_game_oak_weird_name_2,!*Hm bu~garip bir isim.
new_game_oak_known_name_1,Evet! Yani senin adin~
new_game_oak_known_name_2,!*Hm Bu ismi~daha önce duymustum.
new_game_oak_same_name_1,Hey ikimizin adi da~ayni.*Benim adim da~
new_game_oak_same_name_2,!
new_game_oak_name_1,Evet! Yani senin adin~
new_game_oak_name_2,!
new_game_your_name,Adini yaz
new_game_choose_skin,Cilt seçin
new_game_name_too_short,Bu isim çok kisa
---
MapScreen:
map_screen_cities,sehirler
map_screen_routes,Rotalar
map_screen_places,Yerler
---
PokedexScreen:
pokedex_screen_seen,Görüldü
pokedex_screen_obtained,Elde edildi
pokedex_screen_rare,Nadir
pokedex_screen_backadvice,GERI DÖNMEK IÇIN E'YE BAS
---
PokemonScreen:
pokemon_screen_choose_a_pokemon,Pokémon seç
pokemon_screen_backadvice,GERI DÖNMEK IÇIN E'YE BAS
pokemon_screen_item_give,Ver
pokemon_screen_item_take,Geri al
pokemon_screen_item_back,Geri
pokemon_screen_doesnt_hold_item,~Esya tutmuyor.
pokemon_screen_take_item_1,dan
pokemon_screen_take_item_2, esya~
pokemon_screen_take_item_3,~aldin ve çantana~
pokemon_screen_take_item_4, koydun!
pokemon_screen_give_item_1,Ver
pokemon_screen_give_item_2, ve~
pokemon_screen_give_item_3,
pokemon_screen_give_item_4,~envanterine
pokemon_screen_give_item_5,~geri koy.
pokemon_screen_summary,Bilgiler
pokemon_screen_switch,Yerini Degistir
pokemon_screen_item,Esya
pokemon_screen_back,Geri
pokemon_screen_EMPTY,BOs
---
Pokemon Status Screen:
All pages:
poke_status_screen_nature,Huy
poke_status_screen_backadvice,GERI DÖNMEK IÇIN E'YE BAS
poke_status_screen_closeadvice,KAPATMAK IÇIN E'YE BAS
poke_status_screen_number,# 
Page 1:
poke_status_screen_all_exp,Tüm deneyim
poke_status_screen_nxt_lv,Sonraki seviye.
poke_status_screen_stats_page,Statü sayfasi
Page 2:
poke_status_screen_OT,Orjinal sahip
poke_status_screen_Item,Esya
poke_status_screen_no_item,Esya yok
poke_status_screen_ability,Yetenek
poke_status_screen_details_page,Detaylar sayfasi
Page 3:
poke_status_screen_power,Güç
poke_status_screen_accuracy,Görüs
poke_status_screen_moves_page,Saldirilar sayfasi
---
Trainer Card Screen:
trainer_screen_trainer_card,Egitici karti
trainer_screen_name,Isim
trainer_screen_points,Puanlar
trainer_screen_money,Para
trainer_screen_pokedex,Pokédex
trainer_screen_time,Zaman
trainer_screen_collected_badges,Toplanan rozetler
trainer_screen_badge,rozet
