language_name,Português Brasileiro
=====
Global:
global_please_wait,Aguarde
global_loading,Carregando
global_game,Jogo
global_login,Logar
global_male,Masculino
global_female,Feminino
global_genderless,Não-Binário
global_yes,Sim
global_no,Não
global_accept,Aceitar
global_cancel,Cancelar
global_ok,OK
global_gamemode,Modo de Jogo
global_clear,Completo
global_save,Salvar
global_apply,Aplicar
global_close,Fechar
global_back,Voltar
global_on,Ligado
global_off,Desligado
global_enabled,Ativado
global_disabled,Desativado
global_enable,Ativar
global_disable,Desativar
global_player_name,Nome do Jogador
global_badges,Insígnias
global_play_time,Tempo de Jogo
global_location,Local
global_money,Dinheiro
global_points,Pontos
global_ot,TO
global_time,Tempo
global_name,Nome
global_order,Ordem
global_filter,Filtro
global_reset,Resetar
global_pokemon_type_normal,Normal
global_pokemon_type_fire,Fogo
global_pokemon_type_flying,Voador
global_pokemon_type_fighting,Lutador
global_pokemon_type_water,Água
global_pokemon_type_grass,Grama
global_pokemon_type_poison,Veneno
global_pokemon_type_ground,Terra
global_pokemon_type_electric,Elétrico
global_pokemon_type_psychic,Psíquico
global_pokemon_type_rock,Pedra
global_pokemon_type_ice,Gelo
global_pokemon_type_bug,Inseto
global_pokemon_type_dragon,Dragão
global_pokemon_type_ghost,Fantasma
global_pokemon_type_dark,Sombrio
global_pokemon_type_steel,Aço
global_pokemon_type_fairy,Fada
global_pokemon_type_blank,Nulo
global_true,Verdadeiro
global_false,Falso
global_select,Selecionar
global_summary,Resumo
global_item,Item
global_use,Usar
global_give,Dar
global_take,Pegar
global_toss,Jogar Fora
global_switch,Trocar
global_pokemon_move_fly,Fly
global_pokemon_move_rocksmash,Rock Smash
global_pokemon_move_ride,Ride
global_pokemon_move_flash,Flash
global_pokemon_move_cut,Cut
global_pokemon_move_teleport,Teleport
global_pokemon_move_dig,Dig
global_used,Usou
---
General:
HP,HP
PP,PP
Lv.,Nv.
No.,Nº.
Level,Nível
MaxHP,HP Máximo
Attack,Ataque
Defense,Defesa
Special_Attack,Super Ataque
Sp_Attack,Sp. Ataque
Special_Defense,Super Defesa
Sp_Defense,Sp. Defesa
Speed,Velocidade
---
Keyboard Keys:

keyboard_key_Up,Cima
keyboard_key_Down,Baixo
keyboard_key_Left,Esquerda
keyboard_key_Right,Direita
keyboard_key_Enter,Enter
keyboard_key_Space,Espaço
keyboard_key_Escape,Esc
keyboard_key_Back,Backspace
keyboard_key_Tab,Tab
keyboard_key_Home,Home
keyboard_key_End,End
keyboard_key_Delete,Delete
keyboard_key_PageUp,Page Up
keyboard_key_PageDown,Page Down
keyboard_key_LeftShift,Left Shift
keyboard_key_RightShift,Right Shift
---
FieldMoves:

fieldmove_cut_1,Esta árvore parece que~pode ser cortada!
fieldmove_cut_2,*Você deseja usar Cut?
fieldmove_cut_NothingToCut,Não tem nada para ser~cortado!
fieldmove_cut_used,usou~Cut!

fieldmove_rocksmash_1,Esta pedra parece que~pode ser quebrada!
fieldmove_rocksmash_2,*Você deseja ~usar Rock Smash?
fieldmove_rocksmash_used,usou~Rock Smash!

fieldmove_strength_1,Parece que um Pokémon~pode mover isso.
fieldmove_strength_2,*Você deseja usar Strength?
fieldmove_strength_used,usou~Strength!

fieldmove_surf_type0,Voce deseja usar Surf? 
fieldmove_surf_type1,A água parece calma~e funda.~Você deseja usar Surf?
fieldmove_surf_type2,Esse lago está~calmo e raso.~Você deseja usar Surf?
fieldmove_surf_used,usou~Surf!

fieldmove_dive_down_1,A água parece estar~bem profunda neste ponto.
fieldmove_dive_down_2,*Você deseja usar Dive?

fieldmove_dive_up_type1,Uma Luz está vindo~da superfície.*Você deseja usar Dive?
fieldmove_dive_up_type2,A sombra do barco aparece~no fundo do oceano.*Você deseja usar Dive?
fieldmove_dive_used,usou~Dive!
fieldmove_headbutt_question,Essa árvore pode ter~um Pokémon em cima.*Você deseja usar Headbutt?
fieldmove_headbutt_used,usou~Headbutt!

fieldmove_waterfall_used,usou~Waterfall.

fieldmove_ride_cannot_walk,Você não pode andar aqui!
fieldmove_ride_cannot_ride,Você não pode usar Ride aqui!
fieldmove_ride_used,usou~Ride!

fieldmove_flash_AreaLitUp,A área foi iluminada!
fieldmove_flash_AlreadyLitUp,A área ja está iluminada!
fieldmove_flash_used,usou~Flash!

fieldmove_dig_CannotUse,Não dá para usar Dig aqui.
fieldmove_dig_used,usou~Dig!

fieldmove_teleport_CannotUse,Não dá para usar Teleport aqui.
fieldmove_teleport_used,usou~Teleport!
---
GameInteractions:
game_interaction_interact,Interagir
game_interaction_gamemenu,Menu do Jogo
game_interaction_pokegear,Pokégear
game_interaction_pausemenu,Menu de Pausa
game_interaction_notification,Notificação
game_notification_accept,Pressione [<system.button(special)>] para aceitar.
game_notification_dismiss,Pressione [<system.button(special)>] para recusar.
---
PressStartScreen:
start_screen_press,Aperte
start_screen_tostart,para iniciar.
---
Main Menu:
main_menu_newgame_line1,Novo
main_menu_newgame_line2,Jogo
main_menu_options,Opções
main_menu_savefile_name,Nome do Jogador
main_menu_savefile_gamemode,Modo de Jogo
main_menu_savefile_badges,Insígnias
main_menu_savefile_playtime,Tempo de Jogo
main_menu_savefile_location,Local
main_menu_gamejolt_ChangeToMale,Mudar para Masculino
main_menu_gamejolt_ChangeToFemale,Mudar para Feminino
main_menu_gamejolt_ChangeToGenderless,Mudar para Não-Binário
main_menu_gamejolt_ResetSave,Resetar Salve
main_menu_error_gamemode_profile,O modo de jogo escolhido não existe!
main_menu_error_gamemode_message,O modo de jogo escolhido não existe.~Baixe novamente para jogar nesse Salve.
main_menu_error_gamejolt_1,Download falhou. Press Aceitar tentar denovo.
main_menu_error_gamejolt_2,Se o problema persistir,tente novamente mais tarde
main_menu_error_gamejolt_3,ou fale conosco em nosso servidor do Discord:
main_menu_error_gamejolt_4,http://www.discord.me/p3d
main_menu_error_filevalidation,Validação do arquivo falhou!~Baixe novamente os arquivos do jogo para resolver esse problema.
main_menu_options_language,Idioma
main_menu_options_audio,Áudio
main_menu_options_controls,Controles
main_menu_options_contentpacks_line1,Pacotes
main_menu_options_contentpacks_line2,de Conteúdo

GameModeMenu:
gamemode_menu_select1,Selecione o modo de jogo
gamemode_menu_select2,para começar um novo jogo.
gamemode_menu_name,Nome
gamemode_menu_description,Descrição
gamemode_menu_version,Versão
gamemode_menu_author,Autor
gamemode_menu_contentpath,Local do Conteúdo
gamemode_menu_create,Criar
gamemode_menu_back,Voltar
---
JoinServerScreen:
join_server_screen_title,Entre em um Servidor:
join_server_screen_local_server_title,Offline
join_server_screen_local_server_description,Jogue no seu perfil sem entrar em um servidor.
join_server_screen_button_join,Entrar
join_server_screen_button_play,Jogar
join_server_screen_button_refresh,Atualizar
join_server_screen_button_new,Novo
join_server_screen_button_add,Adicionar
join_server_screen_button_edit,Editar
join_server_screen_button_remove,Remover
join_server_screen_tooltip_no_players,Sem jogadores no Servidor.
join_server_screen_tooltip_player_list,Jogadores
join_server_screen_ping,Ping:
join_server_screen_server_unavailable,Não deu pra conectar ao servidor.
join_server_screen_server_online,Servidor online.
join_server_screen_server_polling,Votação
join_server_screen_server_full,O Servidor está Cheio.
join_server_screen_version_mismatch,A versão do jogo não é a mesma do Servidor.
join_server_screen_no_connection,(Sem Conexão)
---
Options Screen:
option_screen_title,Opções
option_screen_warning,As opções não foram salvas, escolha "Salvar Opções" abaixo.
option_screen_backadvice,PRESSIONE [<system.button(OpenMenu)>] PARA VOLTAR
option_screen_description,Descrição

option_screen_game,Game
option_screen_game_textspeed,Velocidade do texto
option_screen_game_textspeed_description,A Velocidade em que o texto é escrito.
option_screen_game_difficulty,Dificuldade
option_screen_game_difficulty_description,Modo de Dificuldade~Selecie um nivel de Dificuldade.
option_screen_game_difficulty_easy,Facil
option_screen_game_difficulty_hard,Difícil
option_screen_game_difficulty_superhard,Super Difícil
option_screen_game_interfacescale,Escala de Interface
option_screen_game_interfacescale_automatic,Automático
option_screen_game_viewbobbing,Ver Balanço
option_screen_game_viewbobbing_description,Liga e Desliga o balançar da Camera.

option_screen_graphics,Graficos
option_screen_graphics_fov,Campo de Visão
option_screen_graphics_renderdistance,Distancia Renderizada
option_screen_graphics_renderdistance_tiny,Muito Curta
option_screen_graphics_renderdistance_short,Curta
option_screen_graphics_renderdistance_normal,Normal
option_screen_graphics_renderdistance_far,Distante
option_screen_graphics_renderdistance_extreme,Muito Distante
option_screen_graphics_offset_mapquality,Qualidade do mapa de deslocamento
option_screen_graphics_offset_mapquality_off,Desligado
option_screen_graphics_graphics,Graficos
option_screen_graphics_graphics_fancy,Bonito
option_screen_graphics_graphics_fast,Rapido
option_screen_graphics_multisampling,Multi Amostras

option_screen_battle,Battle
option_screen_battle_3dmodels,Modelos 3D
option_screen_battle_animations,Animações
option_screen_battle_battlestyle,Modo de Batalha
option_screen_battle_battlestyle_shift,Com Trocas
option_screen_battle_battlestyle_set,Direto

option_screen_controls,Controles
option_screen_controls_xboxgamepad,Xbox Gamepad
option_screen_controls_resetkeybindings,Resetar Mapeamento
option_screen_controls_cameraspeed,Velocidade da camera
option_screen_controls_cameraspeed_slow,...lesma...
option_screen_controls_cameraspeed_medium,Padrão
option_screen_controls_cameraspeed_fast,Super Rapido!
option_screen_controls_cameraspeed_fastest,VELOCIDADE DA LUZ!
option_screen_controls_running,Correr
option_screen_controls_running_hold,Segurar
option_screen_controls_running_toggle,Alternar

option_screen_audio,Áudio
option_screen_audio_volume_music,Música
option_screen_audio_volume_sfx,Efeito Sónoros
option_screen_audio_muted,Mudo

option_screen_contentpacks_up,Mover Acima
option_screen_contentpacks_down,Mover Abaixo
option_screen_contentpacks_information,Informação
option_screen_contentpacks_songs,Músicas
option_screen_contentpacks_sounds,Sons
option_screen_contentpacks_textures,Texturas
option_screen_contentpacks_name,Nome
option_screen_contentpacks_version,Versão
option_screen_contentpacks_by,Por
option_screen_contentpacks_content,Conteúdo
option_screen_contentpacks_description,Descrição

option_screen_resetoptions,Resetar Opções
option_screen_save_options,Salvar Opções
option_screen_close,Fechar
---
Pausescreen:
pause_menu_title,Menu de Pausa
pause_menu_back_to_game,Voltar para o jogo
pause_menu_disconnect,Desconectar
pause_menu_quit_to_menu,Sair para o Menu Principal
pause_menu_autosave_fail,Não da para criar AutoSalve.
pause_menu_yes,Sim
pause_menu_no,Não
pause_menu_confirmation,Você deseja realmente sair? Não se esqueça de Salvar antes.
---
IngameMenu:
game_menu_pokedex,Pokédex
game_menu_party,Pokémon
game_menu_bag,Mochila
game_menu_trainer_card,<player.name>
game_menu_save,Salvar
game_menu_save_notpossible,Não é possivel salvar nesse momento.
game_menu_options,Opções
game_menu_exit,Sair do Menu
game_menu_end_contest,Terminar Concurso
---
InventoryScreen:
inventory_screen_title,Inventory
inventory_screen_ItemSubtitle_HM,Hidden Machine
inventory_screen_ItemSubtitle_TM,Technical Machine
inventory_screen_ItemSubtitle_Standard_Suffix, Item
inventory_screen_ItemSubtitle_KeyItem,Key Item
inventory_screen_ItemSubtitle_PokeBall,Poké Ball
inventory_screen_ItemSubtitle_Plant,Plant
inventory_screen_ItemSubtitle_BattleItem,Battle Item
inventory_screen_ItemNotUsableInBattle,This item can't~be used in Battle.
inventory_screen_TossConfirmation,Are you sure you want to toss~this item?
inventory_screen_TossAmount,Select the amount to toss.
inventory_screen_GiveItem_Give,Gave <name> the <newitem>.
inventory_screen_GiveItem_Switch,Switched <name>'s <olditem> with the <newitem>.
inventory_screen_EggsCannotHold,Ovos não podem segurar itens.
inventory_screen_GiveItem_TakeMail,Deu <newitem> para <name> e levou o Mail para o PC.
inventory_screen_CannotGiveToPokemon,<newitem> não pode ser dado á um Pokémon.
---
PartyScreen:
party_screen_Unable,Incapaz!
party_screen_Able,Capaz!
party_screen_FieldMove,Mv. de Campo
party_screen_CannotChoosePokemon,Não pode escolher este~Pokémon
---
NewGameScreen:

new_game_intro_1,Olá!~Desculpe pela espera!*Bem vindo ao mundo~de Pokémon!*Meu nome é Oak.~As pessoas mm chamam de~Professor Pokémon.*Este mundo é habitado~por criaturas que~nós chamamos
new_game_intro_2,Pokémon.*Pessoas e Pokémons vivem~juntos,dando suporte~ um ao outro.~Algumas pessoas brincam com os Pokémons,~algumas batalham com eles.*Mas não sabemos~tudo sobre os~Pokémons ainda.~Ainda tem muitos~mistérios para resolver.*por isso eu estudo Pokémon todo dia.*Agora,~qual é seu nome mesmo?
new_game_intro_3,~está pronto?*Sua jornada Pokémon está~prestes a começar.*Você vai ter momentos~divertidos e muitos desafios.~Um mundo onde sonhos e~aventuras com Pokémons o Aguardam!*Vamos lá!*Te vejo mais tarde!
new_game_intro_weird_name_1,Certo! Então seu nome é~
new_game_intro_weird_name_2,!*Hmm.. este é um~nome estranho.
new_game_intro_known_name_1,Certo! Então seu nome é~
new_game_intro_known_name_2,!*Hmm.. tenho certeza~que ja ouvi esse nome antes.
new_game_intro_same_name_1,Ei! nos temos o~mesmo nome.*Meu nome também é~
new_game_intro_same_name_2,!
new_game_intro_name_1,Certo! Então seu nome é~
new_game_intro_name_2,!
new_game_select_skin,Escolha sua Aparência
---
MapScreen:
map_screen_cities,Cidades
map_screen_routes,Rotas
map_screen_places,Lugares
map_screen_roaming,Pokémons na área
---
Trainer Card Screen:
trainer_screen_title,Cartão do Treinador
trainer_screen_collected_badges,Insígnias Coletadas
trainer_screen_badge, Insígnia
trainer_screen_empty_badge,???
---
Save Screen:
save_screen_name,Nome
save_screen_badges,Insígnias
save_screen_money,Dinheiro
save_screen_time,Tempo
save_screen_yes,Sim
save_screen_no,Não
---
Apricorn Screen:
apricorn_screen_apricorns,Bolotas
apricorn_screen_producing,Estou trabalhando nas pokébolas no momento.~Volte mais tarde.
apricorn_screen_backadvice,PRESSIONE [<system.button(OpenMenu)>] PARA VOLTAR
apricorn_screen_choose_apricorns,Escolha as Bolotas para fabricar pokébolas.
apricorn_screen_ok,OK
apricorn_screen_clear,Limpar
apricorn_screen_all,Todas
apricorn_screen_take,Pegar devolta
apricorn_screen_ready,Terminei de fazer as pokébolas, aqui está o resultado do meu trabalho:
apricorn_screen_obtain,obtida(as)
---
Donation screen:
donation_screen_donators,Doadores
donation_screen_backadvice,aperte [<system.button(OpenMenu)>] para fechar.
---
Blackout Screen:
black_out_screen_line1,Você está sem Pokémons!
black_out_screen_line2,Você vai ser levado
black_out_screen_line3,ao Centro Pokémon mais próximo
black_out_screen_line4,para previnir mais danos
black_out_screen_line5,a seus Pokémons.
---
Credits Screen:
credits_continue,aperte [<system.button(enter1)>] para continuar.
---
Voltorb Flip:
VoltorbFlip_LV.,NV.
VoltorbFlip_CurrentCoins_Line1,Moedas encontradas
VoltorbFlip_CurrentCoins_Line2,está nesse NV.
VoltorbFlip_TotalCoins_Line1,de <player.name>
VoltorbFlip_TotalCoins_Line2,Moedas coletadas

VoltorbFlip_MemoButton_Open_Line1,Abrir
VoltorbFlip_MemoButton_Open_Line2,Memos
VoltorbFlip_MemoButton_Close_Line1,Fechar
VoltorbFlip_MemoButton_Close_Line2,Memos

VoltorbFlip_QuitButton,Sair

VoltorbFlip_QuitQuestion_Question_1,Se sair agora, você vai~receber
VoltorbFlip_QuitQuestion_Question_2,Moeda(as).*Você quer sair?
VoltorbFlip_QuitQuestion_AnswerYes,Sim
VoltorbFlip_QuitQuestion_AnswerNo,Não

VoltorbFlip_BeforeNewLevel_Main_Question_1,Play Voltorb Flip Lv.
VoltorbFlip_BeforeNewLevel_Main_Question_2,?
VoltorbFlip_BeforeNewLevel_Main_Answer_Play,Jogar
VoltorbFlip_BeforeNewLevel_Main_Answer_GameInfo,Game Info
VoltorbFlip_BeforeNewLevel_Main_Answer_Quit,Sair
VoltorbFlip_BeforeNewLevel_GameInfo_Question,Which set of info?
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_HowToPlay,Como Jogar
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_Hint,Dica!
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_AboutMemos,Sobre Memos
VoltorbFlip_BeforeNewLevel_GameInfo_Back,Voltar

VoltorbFlip_GameWon_1,Jogo Concluido!~Você encontrou toos~cartões x2 e x3 Escondidos.*<player.name> Recebeu~
VoltorbFlip_GameWon_2,Moeda(as)!

VoltorbFlip_GameLost,Ah não! Você pegou 0 Moedas!

VoltorbFlip_MaxCoins,Sua Caixa de Moedas~está cheia!

VoltorbFlip_NewLevel_Lower1,Caiu para o Jogo Nv.
VoltorbFlip_NewLevel_Lower2,!
VoltorbFlip_NewLevel_Higher1,Avançou para o Jogo Nv.
VoltorbFlip_NewLevel_Higher2,!
VoltorbFlip_NewLevel_Ready1,Pronto para Jogar Nv.
VoltorbFlip_NewLevel_Ready2,!

VoltorbFlip_QuitGame_1,<player.name> Recebeu~
VoltorbFlip_QuitGame_2,Moeda(as)!

VoltorbFlip_AfterGame_Won1,Você Ganhou
VoltorbFlip_AfterGame_Won2,Moeda(as)!
VoltorbFlip_AfterGame_Lost,Que pena, Você não ganhou~nenhuma moeda!*Melhor sorte na proxima!

VoltorbFlip_BeforeGame_NoCoinCase,Você não tem uma Caixa de Moedas!~Volte quando você tiver uma!

VoltorbFlip_Tutorial_HowToPlay_Message,Voltorb Flip é um jogo onde~você vira cartas para encontrar~numeros escondidos debaixo delas.*As cartas escondem~números de 1 á 3...~e Voltorb também.*O primeiro numero que encontrar~te dá aquela quantidade de moedas.*Ai em diante,o proximo número~que encontrar multiplica ~o total de Moedas que você~coletou por aquele número.*se for um 2, seu total vai ~ser multiplicado por "x2".*ser for um3, seu total vai~ser multiplicado por "x3".*Mas se você virar um~Voltorb, é fim de jogo.*Quando isso acontece,você vai perder~todas as moedas que você coletou no nível atual.*Se você escolher "Sair", você vai~retirar do nível.*Se você estiver numa posição~difícil, você pode querer terminar~o jogo cedo.*uma vez encontrando o~cartão 2 e 3 escondidos,~você completa o jogo.*Depois que voce virar~todas essas cartas,então você vai~avançar ao próximo nível.*Quanto mais alto o nivel,~você vai receber~mais moedas. Dê o seu melhor!
VoltorbFlip_Tutorial_Hint_Message,The numbers at the side~of the board give you a clue~about the numbers hidden on~the backs of the cards.*The larger the number, the~more likely it is that there~are many large numbers hidden~in that row or column.*In the same way, you can tell~how many Voltorb are hidden~in the row or column.*Consider the hidden number~totals and the Voltorb~totals carefully as you~flip over cards.
VoltorbFlip_Tutorial_AboutMemos_Message,Select "Open Memo" or press~[<system.button(run)>] to open the~Memo Window.*You can mark the cards with~the numbers 1 through 3,~but also with a Voltorb mark.*When you have an idea of the~numbers hidden on the back~of the cards, open the Memo~Window, choose the type of~mark you want to use with~the Mouse Wheel or the~Gamepad's Shoulder Buttons~and then press [<system.button(enter1)>]~while highlighting the card~you want to mark.*If you want to remove a mark,~choose the type of mark you~want to remove with the~Mouse Wheel or the Gamepad's~Shoulder Buttons and then~press [<system.button(back1)>] while~highlighting the card you~want to remove the mark from.*You can also use the~mouse to select a~mark type or a card.
VoltorbFlip_Tutorial_HowToPlay_Image1,If you flip the cards in this order, you'll collect: 3 x 1 x 2 x 1 x 3... A total of 18 Coins! And then...
VoltorbFlip_Tutorial_HowToPlay_Image2,If you select "Quit", you'll keep those 18 Coins.
VoltorbFlip_Tutorial_HowToPlay_Image3,But if you find Voltorb, you'll lose all your Coins!
VoltorbFlip_Tutorial_Hint_Image,By looking at the numbers on the sides of the cards, you can see the hidden number and Voltorb totals.
VoltorbFlip_Tutorial_AboutMemos_Image,Select "Open Memo" to open the Memo Window. Select the cards and press [<system.button(enter1)>] to add and [<system.button(back1)>] to remove marks.
----
PokedexScreen
pokedex_seen,Visto:
pokedex_obtained,Obtido:
pokedex_available,Disponível:
pokedex_select,Escolha a Pokédex
pokedex_habitat_dex_name,Habitat-Dex
pokedex_habitat_select,Escolha o Habitat
pokedex_order,Órdem:
pokedex_order_numeric,Numérica
pokedex_order_alphabetically,A-Z
pokedex_order_height,Tamanho
pokedex_order_weight,Peso
pokedex_filter,Filtro:
pokedex_filter_none,Nenhum
pokedex_filter_name,Nome
pokedex_filter_type1,Tipo 1
pokedex_filter_type2,Tipo 2
pokedex_search_hint,Pressione [<system.button(special)>] ou Select para Pesquisar.
pokedex_search_no_results,Sem Resultados.
pokedex_data_species,ESPÉCIES
pokedex_data_type,TIPO
pokedex_data_height,ALTURA
pokedex_data_weight,PESO
pokedex_data_form_switch_hint,Pressione [Shift] para trocar formas
pokedex_data_page_details,Detalhes
pokedex_data_page_habitat,Habitat
pokedex_data_page_evolution,Evolução
pokedex_habitat_area_unknown,Área Desconhecida.
pokedex_evolution_no_evolutions,não evolui.
----
Receiving Items:
item_received_single,Recebeu um(a)
item_received_multiple,Recebeu 
item_found,<player.name> encontrou 
item_stored_in_pocket_single_start,<player.name> guardou no bolso de ~
item_stored_in_pocket_single_end,.
item_stored_in_pocket_multiple_start,<player.name> guardou no bolso de ~
item_stored_in_pocket_multiple_end,.

Berries:
berry_picked_single_start,<player.name> pegou uma 
berry_picked_single_end,Berry.
berry_picked_multiple_start,<player.name> pegou 
berry_picked_multiple_end,Berries.
----
Battle:
battle_trainer_about_to_send_out_1,está prestes a mandar
