language_name,Русский
---
MainMenuScreen:
main_menu_continue,Продолжить
main_menu_load_game,Загрузить сохранение
main_menu_new_game,Новая игра
main_menu_quit_game,Выйти
LoadScreen:
load_menu_name,Имя
load_menu_badges,Значки
load_menu_location,Локация
load_menu_time,Время
load_menu_back,Назад
load_menu_load,Загрузить
load_menu_delete,Удалить
load_menu_gamemode,Режим игры
DeleteScreen:
delete_menu_delete_confirm,Вы уверены что хотите удалить сохранение
delete_menu_delete,Удалить
delete_menu_cancel,Отмена
LanguageScreen:
language_menu_apply,Применить
language_menu_back,Назад
PacksScreen:
pack_menu_up,Вверх
pack_menu_down,Вниз
pack_menu_toggle_on,Включено
pack_menu_toggle_off,Выключено
pack_menu_information,Информация
pack_menu_enabled,Включено
pack_menu_apply,Применить
pack_menu_back,Назад
pack_menu_songs,Музыка
pack_menu_sounds,Звуки
pack_menu_textures,Текстуры
pack_menu_name,Имя
pack_menu_version,Версия
pack_menu_by,Кем
pack_menu_content,Контент
pack_menu_description,Описание
---
GameModeMenu:
gamemode_menu_name,Имя
gamemode_menu_description,Описание
gamemode_menu_version,Версия
gamemode_menu_author,Автор
gamemode_menu_contentpath,Путь
gamemode_menu_create,Создать
gamemode_menu_back,Назад
---
Pausescreen:
pause_menu_title,Меню
pause_menu_back_to_game,Вернуться к игре
pause_menu_disconnect,Отключиться
pause_menu_quit_to_menu,Выйти в меню
pause_menu_autosave_fail,Невозможно сделать сохранение.
pause_menu_yes,Да
pause_menu_no,Нет
pause_menu_confirmation,Вы уверенны что хотите выйти?Несохраненный прогресс будет потерян.
---
IngameMenu:
game_menu_pokedex,Покедекс
game_menu_party,Покемон
game_menu_bag,Сумка
game_menu_trainer_card,<playername>
game_menu_save,Сохранить
game_menu_options,Опции
game_menu_exit,Выйти
---
InventoryScreen:
inventory_menu_bag,Сумка
inventory_menu_backadvice,НАЖМИТЕ У ЧТОБЫ ВЕРНУТСЯ
inventory_menu_items,Предметы
inventory_menu_description,Описание
---
NewGameScreen:
new_game_oak_1,Привет! * Добро пожаловать в мир ~ Покемонов! * Меня зовут Оак. ~ Люди называют меня ~ Проффесор Покемон * Этот мир населен ~ существами, которые мы называем
new_game_oak_2,Покемонами.*Люди и покемоны живут бок о бок и помогают друг другу.Некоторые люди предпочитают играть с покемонами другие участвуют с ними в сражениях*Однако нам еще не все известно о покемонах, поэтому я и изучаю покемонов каждый день.Теперь повтори свое имя?
new_game_oak_3,~ты готов?*Твоя история начинается.*Тебе прийдется преодолевать трудности, и конечно же, веселиться.~Мир мечты и покемонов ждет!*Увидимся позже.
new_game_oak_weird_name_1,Отлично! Так какое твое имя?~
new_game_oak_weird_name_2,!*Хм, какое странное имя.
new_game_oak_known_name_1,Отлично! Так какое твое имя?~
new_game_oak_known_name_2,!*Хм я уверена что слышала это имя.
new_game_oak_same_name_1,Да мы тески*У меня такое же~
new_game_oak_same_name_2,!
new_game_oak_name_1,Отлично! Так какое твое имя?~
new_game_oak_name_2,!
new_game_your_name,Твое имя
new_game_choose_skin,Выбери внешний вид
new_game_name_too_short,Имя слишком короткое
---
MapScreen:
map_screen_cities,Города
map_screen_routes,Маршруты
map_screen_places,Место
map_screen_roaming,Роуминг-покс
---
PokedexScreen:
pokedex_screen_seen,Видели
pokedex_screen_obtained,Полученный
pokedex_screen_rare,Редкий
pokedex_screen_backadvice,НАЖМИТЕ У ЧТОБЫ ВЕРНУТЬСЯ
---
PokemonScreen:
pokemon_screen_choose_a_pokemon,Выбери покемона
pokemon_screen_backadvice,НАЖМИТЕ У ЧТОБЫ ВЕРНУТЬСЯ
pokemon_screen_item_give,Дать
pokemon_screen_item_take,Взять
pokemon_screen_item_back,Назад
pokemon_screen_doesnt_hold_item,~пусто
pokemon_screen_take_item_1,Взял
pokemon_screen_take_item_2, из~
pokemon_screen_take_item_3,~и положил в~
pokemon_screen_take_item_4, карман!
pokemon_screen_give_item_1,Дал 
pokemon_screen_give_item_2,
pokemon_screen_give_item_3,
pokemon_screen_give_item_4,~и забрал
pokemon_screen_give_item_5,~обратно в инвентарь.
pokemon_screen_summary,Сводка
pokemon_screen_switch,Переключить
pokemon_screen_item,Предмет
pokemon_screen_back,Назад
pokemon_screen_EMPTY,ПУСТО
---
Pokemon Status Screen:
All pages:
poke_status_screen_nature,Характеристики
poke_status_screen_backadvice,НАЖМИТЕ У ЧТОБЫ ВЕРНУТЬСЯ
poke_status_screen_closeadvice,НАЖМИТЕ У ЧТОБЫ ЗАКРЫТЬ
poke_status_screen_number,# 
Page 1:
poke_status_screen_all_exp,Весь опыт
poke_status_screen_nxt_lv,След. ур.
poke_status_screen_stats_page,Страница статистики
Page 2:
poke_status_screen_OT,OT
