language_name,Español
=====
Global:
global_join,Únete
global_play,Reproducir
global_refresh, Actualizar
global_new,Nuevo
global_add, Agregar
global_edit,Editar
global_remove, Eliminar
global_please_wait,Por favor espere
carga_global,Cargando
global_game,Juego
global_login, Iniciar sesión
global_male,Masculino
global_female,Mujer
global_genderless, sin género
global_sí, sí
global_no,No
global_accept,Aceptar
global_cancel,Cancelar
global_gamemode,ModoJuego
global_clear,Borrar
global_save,Guardar
global_apply,Aplicar
global_close,Cerrar
global_back,Atrás
global_on, encendido
global_off,Apagado
global_habilitado,habilitado
global_disabled,Deshabilitado
global_enable, Habilitar
global_disable, Deshabilitar
global_player_name,Nombre del jugador
insignias_globales,Insignias
global_play_time,Tiempo de reproducción
ubicación_global,Ubicación
dinero_global,Dinero
puntos_globales,Puntos
nombre_global,Nombre
orden_global, Orden
filtro_global,Filtro
reinicio_global,Restablecer
global_pokemon_type_normal,Normal
global_pokemon_type_fire,Fuego
global_pokemon_type_flying,Volar
global_pokemon_type_fighting,Lucha
global_pokemon_type_water,Agua
global_pokemon_type_grass,Hierba
global_pokemon_type_poison,Veneno
global_pokemon_type_ground,Tierra
global_pokemon_type_electric,Eléctrico
global_pokemon_type_psychic,Psíquico
global_pokemon_type_rock,Roca
global_pokemon_type_ice,Hielo
global_pokemon_type_bug,Error
global_pokemon_type_dragon,Dragón
global_pokemon_type_ghost,Fantasma
global_pokemon_type_dark,Oscuro
global_pokemon_type_steel,Acero
global_pokemon_type_fairy,Hada
global_pokemon_type_blank,En blanco
global_true,Verdadero
global_falso, falso
global_select,Seleccionar
global_summary,Resumen
elemento_global,elemento
global_use,Usar
dar_global,dar
global_take,Tomar
global_toss,lanzamiento
global_switch,Cambiar
global_pokemon_move_fly,Volar
global_pokemon_move_rocksmash,Golpe roca
global_pokemon_move_ride,Montar
global_pokemon_move_flash,Destello
global_pokemon_move_cut,Corte
global_pokemon_move_teleport,Teletransporte
global_pokemon_move_dig,Excavar
global_used,Usado
global_eggs_cannot_hold, los huevos no pueden contener elementos.
---
General:
HP,PS
PP,PP
Lv.,Nv.
Level,Nivel
Attack,Ataque
Defense,Defensa
Special_Attack,Ataque especial
Special_Defense,Defensa especial
Speed,Velocidad
---
GameInteractions:
game_interaction_interact,Interactuar
game_interaction_gamemenu,Menú del juego
game_interaction_pokegear,Pokégear
game_interaction_pausemenu,menú de pausa
game_interaction_notification,Notificación
game_notification_accept, presione <system.button(special)> para aceptar.
game_notification_dismiss, presione <system.button(special)> para cerrar. 
---
PressStartScreen:
start_screen_press,Presione
start_screen_tostart,para empezar.
---
Main Menu:
main_menu_newgame_line1,Nuevo
main_menu_newgame_line2,Juego
main_menu_options,Opciones
main_menu_savefile_name,Nombre del jugador
main_menu_savefile_gamemode, Modo de juego
main_menu_savefile_badges,Insignias
main_menu_savefile_playtime,Tiempo de reproducción
main_menu_savefile_ubicación,Ubicación
main_menu_error_gamemode_profile,¡El GameMode requerido no existe!
main_menu_error_gamemode_message, el modo de juego requerido no existe. ~ Requiere el modo de juego para jugar en este perfil.
main_menu_error_gamejolt_1,La descarga falló. Presione Aceptar para volver a intentarlo.
main_menu_error_gamejolt_2,Si el problema persiste, vuelve a intentarlo más tarde
main_menu_error_gamejolt_3, o contáctenos en nuestro servidor Discord:
main_menu_error_gamejolt_4, http://www.discord.me/p3d
main_menu_error_filevalidation, ¡La validación del archivo falló! ~ Vuelva a descargar los archivos del juego para resolver este problema.
main_menu_options_language,Idioma
main_menu_options_audio,Audio
main_menu_options_controls,Controles
main_menu_options_contentpacks_line1, Contenido
main_menu_options_contentpacks_line2,Paquetes

DeleteScreen:
delete_menu_delete_confirm,¿Realmente deseas borrar tu progreso?
delete_menu_delete,Borrar
delete_menu_cancel,Cancelar

GameModeMenu:
gamemode_menu_select1,Selecciona un modo de juego
gamemode_menu_select2,para comenzar el nuevo juego.
gamemode_menu_name,Nombre
gamemode_menu_description,Descripción
gamemode_menu_version,Versión
gamemode_menu_author,Autor
gamemode_menu_contentpath,Pack de Contenidos
gamemode_menu_create,Crear
gamemode_menu_back,Volver
---

Options Screen:
option_screen_title,Opciones
option_screen_warning,Las opciones aún no se han guardado, desplácese hacia abajo y elija "Guardar opciones".
option_screen_backadvice,PULSA E PARA VOLVER
option_screen_description,Descripción 

option_screen_game,Juego
option_screen_game_textspeed,Velocidad de texto
option_screen_game_textspeed_description,la velocidad con la que aparece el cuadro de texto y ~ muestra el texto
option_screen_game_difficulty,Dificultad
option_screen_game_difficulty_description,Modo de dificultad~Establece el nivel de dificultad.
option_screen_game_difficulty_easy,Fácil
option_screen_game_difficulty_hard,Difícil
option_screen_game_difficulty_superhard,Súper Difícil
option_screen_game_viewbobbing,Ver balanceo
option_screen_game_viewbobbing_description,Activa o desactiva el movimiento de la cámara.

option_screen_graphics,Gráficos
option_screen_graphics_fov,Campo de visión
option_screen_graphics_fov_description,El campo de visión. Cuanto más alto sea el valor,~más podrá ver.~Advertencia: un valor demasiado grande puede causar retrasos en mapas más grandes.
option_screen_graphics_renderdistance,Distancia de renderizado
option_screen_graphics_renderdistance_description,La distancia de renderizado determina,~hasta dónde puedes ver.~Al rechazar esto, puedes mejorar tu FPS.
option_screen_graphics_renderdistance_tiny,Pequeño
option_screen_graphics_renderdistance_short,Corto
option_screen_graphics_renderdistance_normal,Normal
option_screen_graphics_renderdistance_far,Lejos
option_screen_graphics_renderdistance_extreme,Extremo
option_screen_graphics_offset_mapquality,calidad del mapa compensado
option_screen_graphics_offset_mapquality_description,Establece la calidad de los mapas de compensación.~Los detalles y la frecuencia de actualización de los mapas de compensación aumentan con este valor.~Establece este valor en 0 para evitar que el juego cargue mapas de compensación.
option_screen_graphics_offset_mapquality_off,Desactivado
option_screen_graphics_graphics,Gráficos
option_screen_graphics_graphics_description, afecta si algunos objetos se representan o no. Al rechazar esto, puede mejorar su FPS. ~ Esta configuración es para todos los estados guardados.
option_screen_graphics_graphics_fancy,Fantasía
option_screen_graphics_graphics_fast,Rápido
option_screen_graphics_multisampling,Muestreo múltiple

option_screen_battle,Batalla
option_screen_battle_3dmodels,Modelos 3D
option_screen_battle_animations,Animaciones
option_screen_battle_animations_description, determina si el juego muestra animaciones de batalla.
option_screen_battle_battlestyle,Estilo de batalla
option_screen_battle_battlestyle_shift,Mayús
option_screen_battle_battlestyle_set,Establecer
option_screen_battle_style_description,Battle Style~Set: No se te pide que cambies tu Pokémon~Shift: Puedes cambiar tu Pokémon después de derrotar a un oponente.

option_screen_controls,Controles
option_screen_controls_xboxgamepad,Mando de Xbox
option_screen_controls_resetkeybindings,Restablecer combinaciones de teclas
option_screen_controls_cameraspeed,Velocidad de la cámara
option_screen_controls_cameraspeed_description, la velocidad de la cámara establece la velocidad a la que el mouse puede rotar la vista.
option_screen_controls_cameraspeed_slow,...Lento...
option_screen_controls_cameraspeed_medium,Estándar
option_screen_controls_cameraspeed_fast, ¡Súper rápido!
option_screen_controls_cameraspeed_fastest,¡VELOCIDAD DE LA LUZ!

option_screen_audio,Audio
option_screen_audio_volume_music,Volumen de música
option_screen_audio_volume_music_description,El volumen de la música de fondo.
option_screen_audio_volume_sfx,Volumen SoundFX
option_screen_audio_volume_music_description,El volumen de los efectos de sonido y jingles.
option_screen_audio_muted,silenciado

option_screen_contentpacks_up,Mover hacia arriba
option_screen_contentpacks_down,Mover hacia abajo
option_screen_contentpacks_información,Información
option_screen_contentpacks_songs,Canciones
option_screen_contentpacks_sounds,Sonidos
option_screen_contentpacks_textures,Texturas
option_screen_contentpacks_name,Nombre
option_screen_contentpacks_version,Versión
option_screen_contentpacks_by,Por
option_screen_contentpacks_content,Contenido
option_screen_contentpacks_description,Descripción

option_screen_resetoptions,Restablecer configuración.
option_screen_resetoptions_description,Restablecer todas la configuración.
option_screen_save_options,Opciones de guardado.
option_screen_save_options_description,Guarda las opciones y cierra el menú.
option_screen_close,Cerrar.
option_screen_close_menu_description,Cerrar el menú y no guardar los cambios.
---
Pausescreen:
pause_menu_title,Menú del juego
pause_menu_back_to_game,Volver al juego
pause_menu_disconnect,Desconectar
pause_menu_quit_to_menu,Salir al menú
pause_menu_autosave_fail, no se puede crear guardado automático.
pause_menu_yes,Sí
pausa_menú_no,No
pause_menu_confirmation,¿Realmente quieres salir? El progreso no guardado se perderá.
---
IngameMenu:
game_menu_pokedex,Pokédex
game_menu_party,Pokémon
game_menu_bag,Bolsa
game_menu_trainer_card,<playername>
game_menu_save,Guardar
game_menu_options,Opciones
game_menu_exit,Salir del menú 
---
InventoryScreen:
inventario_menu_bag,Bolsa
Inventory_menu_backadvice,PULSA E PARA VOLVER
Inventory_menu_items,Artículos
Inventory_menu_description,Descripción
---
NewGameScreen:
new_game_intro_1,¡Hola!~¡Perdón por haberte hecho esperar!*¡Bienvenido al mundo~de Pokémon!*Mi nombre es Oak.~La gente me llama~Pokémon Prof.*Este mundo está habitado~por criaturas a las que~llamamos
new_game_intro_2,Pokémon.*Las personas y los Pokémon viven~juntos apoyándose~unos a otros.~Algunas personas juegan con~Pokémon,~algunos luchan con ellos.*Pero aún no sabemos~todo sobre~Pokémon.~Todavía hay muchos ~misterios por resolver.*Es por eso que estudio~Pokémon todos los días.*Ahora, ¿cuál dijiste~que era tu nombre?
new_game_intro_3,~¿estás listo?*Tu propia~historia de Pokémon está a punto de desarrollarse.*Te enfrentarás a divertidos~tiempos y difíciles~desafíos.~¡Un mundo de sueños y~aventuras con Pokémon~te espera!*¡Vamos! *¡Te veré~ más tarde!
new_game_intro_weird_name_1,¡Correcto! Entonces tu nombre es ~
new_game_intro_weird_name_2,!*Hm, ese es un ~nombre extraño.
new_game_intro_known_name_1,¡Correcto! Entonces tu nombre es ~
new_game_intro_known_name_2,!* Hm, estoy seguro de que escuché este nombre antes.
new_game_intro_same_name_1,Oye, tenemos los mismos nombres.*Mi nombre también es~
nuevo_juego_intro_mismo_nombre_2,!
new_game_intro_name_1,¡Correcto! Entonces tu nombre es ~
nuevo_juego_intro_nombre_2,!
new_game_your_name,¿Cuál es tu nombre?
new_game_select_skin,Seleccione su apariencia
new_game_name_too_short,Este nombre es demasiado corto
---
MapScreen:
map_screen_cities,Ciudades
map_screen_routes,Rutas
map_screen_places,Lugares
map_screen_roaming,Pokémons errantes
---
PokedexScreen:
pokedex_screen_seen,Avistado
pokedex_screen_obtenido,obtenido
pokedex_screen_rare,Raro
pokedex_screen_backadvice,PULSA E PARA VOLVER 
---
PokemonScreen:
pokemon_screen_choose_a_pokemon,Elige un Pokémon
pokemon_screen_backadvice,Presiona la tecla E para regresar.
pokemon_screen_item_give,Dar
pokemon_screen_item_take,Tomar
pokemon_screen_item_back,Atrás
pokemon_screen_doesnt_hold_item,~no contiene ningún elemento.
pokemon_screen_take_item_1,Tomó
pokemon_screen_take_item_2,de~
pokemon_screen_take_item_3,~y ponlo en el~
pokemon_screen_take_item_4,¡bolsillo!
pokemon_screen_give_item_1,Dio
pokemon_screen_give_item_2,a~
pokemon_screen_give_item_3,
pokemon_screen_give_item_4,~y pon
pokemon_screen_give_item_5,~volver al inventario.
pokemon_screen_summary,Resumen
pokemon_screen_switch,Cambiar
pokemon_screen_item,Artículo
pokemon_screen_back,Atrás
pokemon_screen_VACÍO,VACÍO 
---
Pokemon Status Screen:
All pages:
poke_status_screen_nature,Naturaleza
poke_status_screen_backadvice,PULSA E PARA VOLVER
poke_status_screen_closeadvice,PULSA E PARA CERRAR
poke_status_screen_number,# 
Page 1:
poke_status_screen_all_exp,Puntos Exp.
poke_status_screen_nxt_lv,Sig. Nv.
poke_status_screen_stats_page,Estadísticas 
Page 2:
poke_status_screen_OT,OT
poke_status_screen_Item,Objeto
poke_status_screen_no_item,Ninguno
poke_status_screen_ability,Abilidad
poke_status_screen_details_page,Detalles
Page 3:
poke_status_screen_power,Potencia
poke_status_screen_accuracy,Precisión
poke_status_screen_moves_page,Movimientos 
---
Trainer Card Screen:
trainer_screen_trainer_card,Tarjeta de Entrenador
trainer_screen_name,Nombre
trainer_screen_points,Puntos
trainer_screen_money,Dinero
trainer_screen_pokedex,Pokédex
trainer_screen_time,Tiempo
trainer_screen_collected_badges,Medallas recopiladas
trainer_screen_badge, Medalla
trainer_screen_backadvice,PULSA E PARA VOLVER
trainer_screen_empty_badge,???
---
Save Screen:
save_screen_title,¿Quieres guardar el juego?
save_screen_name,Nombre
save_screen_badges,Insignias
save_screen_money,Dinero
save_screen_time,Tiempo
save_screen_yes,Sí
save_screen_no,No
save_screen_success,Guardó el juego.
---
Item Detail Screen:
item_detail_screen_use,Usar
item_detail_screen_give,Dar
item_detail_screen_trash,Papelera
item_detail_screen_back,Atrás
item_detail_screen_give_item,Dar
---
Apricorn Screen:
apricorn_screen_apricorns,Albaricoques
apricorn_screen_producing,Estoy produciendo los Balls en este momento.~ Vuelve más tarde.
apricorn_screen_backadvice,PULSA E PARA VOLVER
apricorn_screen_choose_apricorns,Elige los Apricorns que debo tomar para producir Pokébolas.
apricorn_screen_ok,Vale
apricorn_screen_clear,Borrar
apricorn_screen_take,Coger
apricorn_screen_ready,Estoy listo para producir Pokébolas. Aquí está el resultado de mi trabajo:
apricorn_screen_obtain,obtenido
---
Daycare Screen:
daycare_screen_daycare,Guardería
daycare_screen_money, / Dinero:
daycare_screen_deposit,Depósito
daycare_screen_grown,Cultivado:
daycare_screen_lv, / Lv.
daycare_screen_costs, / Costos:
daycare_screen_pokedollar,Pokedólar
daycare_screen_withdraw,Retirar
daycare_screen_backadvice,PULSA E PARA VOLVER
daycare_screen_pokemon_choose_header,Depositar Pokémon
Egg,Egg
---
Network Screen:
network_screen_isonline,¡Ya estás en un juego cooperativo! ¡Cierra la conexión~para abrir un nuevo juego o conectarte de nuevo!~~~¡Presiona E para volver!
network_screen_header,juego cooperativo
network_screen_main_header,puedes unirte a un juego o organizar uno nuevo para jugar con un amigo.
network_screen_main_join,Unirse
network_screen_main_host,Anfitrión
network_screen_main_close,Cerrar
network_screen_join_header,Únase a un juego: ~ Ingrese la dirección IP del juego alojado.
network_screen_join_cancel,Cancelar
network_screen_join_join,Unirse
network_screen_host_header,Organice un juego: ~ Está a punto de abrir su ~ juego para otros jugadores en su red.
network_screen_host_cancel,Cancelar
network_screen_host_host,Anfitrión
---
Donation screen:
donation_screen_donators,Contribuidores
donation_screen_backadvice,Presione E para cerrar
---
Blackout Screen:
black_out_screen_line1,¡Te has quedado sin Pokémon!
black_out_screen_line2,serás traído
black_out_screen_line3,al centro Pokémon más cercano
black_out_screen_line4,para evitar más lesiones
black_out_screen_line5,a tu Pokémon.
---
Battle:
---
main:
battle_main_trainer_sent_out_1, enviado ~
battle_main_trainer_sent_out_2,.
battle_main_trainer_sent_out_3, está a punto de ~ enviar ~
battle_main_trainer_sent_out_4,!~¿Quieres cambiar~de Pokémon?
battle_main_trainer_sent_out_5, Sí
battle_main_trainer_sent_out_6, No
battle_main_choose_pokemon,Elige Pokémon
battle_main_wild_appear_1,Un salvaje
battle_main_wild_appear_2,~apareció!
battle_main_trainer_intro_1, y~
battle_main_trainer_intro_2, ¡quiero~combatir!
battle_main_trainer_intro_3, ¡quiere~combatir!
battle_main_intro_1,¡VAMOS!
batalla_principal_intro_2,!
battle_main_trainer_defeat_1,~fue derrotado!
battle_main_trainer_defeat_2, y~
battle_main_trainer_defeat_3,~fueron derrotados!
battle_main_trainer_defeat_4, tengo
battle_main_trainer_defeat_5,~¡PokéDollars por ganar!
---
attackTurn:
battle_attack_poison_damage,¡~fue herido por veneno!
battle_attack_curse_damage,~está afectado por la maldición!
battle_attack_fire_damage,¡~fue herido por su quemadura!
battle_attack_trainer_item_1, usó un ~
battle_attack_trainer_item_2,!
battle_attack_asleep, es rápido~dormido.
battle_attack_woke_up, desperté!
battle_attack_paralyzed, ¡está paralizado!~ ¡No se puede mover!
battle_attack_frozen_free, ¡Ya no está congelado!
battle_attack_frozen, ¡Está congelado~sólido!
battle_attack_flinched, ¡Se estremeció!
battle_attack_no_longer_confused, ¡Ya no está confundido!
battle_attack_confused, está~confundido.
battle_attack_hit_self_confusion, ¡sSe golpea a sí mismo~en confusión!
battle_attack_no_PP_left, ¡No le quedan PP!*
battle_attack_used, usado
---
Badges:
badge_Boulder,Roca
badge_Cascade,Cascada
badge_Thunder,Trueno
badge_Rainbow,Arcoiris
badge_Soul,Alma
badge_Marsh,Pantano
badge_Volcano,Volcán
badge_Earth,Tierra
badge_Zephyr,Céfiro
badge_Hive,Colmena
badge_Plain,Planicie
badge_Fog,Niebla
badge_Storm,Tormenta
badge_Mineral,Mineral
badge_Glacier,Glaciar
badge_Rising,Dragón
---
Regions:
Johto,Johto
Kanto,Kanto
Sevii Islands,Islas Sevii
---
Places:
Places_???,???

Towns:
Places_New Bark Town,Pueblo Primavera
Places_Cherrygrove City, Ciudad Cerezo
Places_Violet City,Ciudad Malva
Places_Azalea Town,Pueblo Azalea
Places_Goldenrod City,Ciudad Trigal
Places_Ecruteak City,Ciudad Iris
Places_Olivine City,Ciudad Olivo
Places_Cianwood City,Ciudad Orquídea
Places_Mahogany Town,Pueblo Caoba
Places_Blackthorn City,Ciudad Endrino
Places_Pallet Town,Pueblo Paleta 
Places_Viridian City,Ciudad Verde
Places_Saffron City,Ciudad Azafrán
Places_Pewter City,Ciudad Plateada 
Places_Cerulean City,Ciudad Celeste
Places_Celadon City,Ciudad Azulona
Places_Vermilion City,Ciudad Carmín
Places_Fuchsia City,Ciudad Fucsia
Places_Cinnabar Island,Isla Canela
Places_Lavender Town,Pueblo Lavanda
Places_One Island,Isla Prima
Places_Two Island,Isla Secunda
Places_Three Island,Isla Tera
Places_Four Island,Isla Quarta
Places_Five Island,Isla Inta
Places_Six Island,Isla Exta
Places_Seven Island,Isla Sétima

Special Houses:
Places_Gate,Entreruta
Places_Pokemon Center,Centro Pokémon
Places_Pokemon Mart,Tienda Pokémon
Places_Elms lab,Laboratorio Prof. Elm
Places_Oak's lab,Laboratorio Prof. Oak
Places_Azalea Town Gym,Gimnasio de Azalea
Places_Violet City Gym,Gimnasio Malva
Places_Goldenrod City Gym,Gimnasio Trigal
Places_Ecruteak City Gym,Gimnasio ciudad Ecruteak
Places_Cianwood City Gym,Gimnasio ciudad Cianwood
Places_Olivine City Gym,Gimnasio ciudad Olivine
Places_Mahogany City Gym,Gimnasio ciudad Mahogany
Places_Blackthorn City Gym,Gimnasio ciudad Endrino
Places_Your House,Casa de <playername>
Places_Your Room,Cuarto de <playername>
Places_Daycare,Guardería
Places_Pewter City Gym,Gimnasio ciudad Pewter
Places_Cerulean City Gym,Gimnasio ciudad Cerulean
Places_Vermilion City Gym,Gimnasio ciudad Vermilion
Places_Celadon City Gym,Gimnasio ciudad Celadon
Places_Fuchsania City Gym,Gimnasio ciudad Fuchsania
Places_Saffron City Gym,Gimnasio ciudad Saffron
Places_Cinnabar Gym,Gimnasio Cinnabar
Places_Viridian City Gym,Gimnasio ciudad Viridian
Places_Dance Theater,Teatro de Danza 
Places_Lighthouse,Faro 
Places_Team Rocket HQ,Team Rocket Base
Places_Radio Tower,Torre de radio
Places_Seaplane Port,Puerto Seaplane

Dungeons:
Places_Ilex Forest,Bosque Encinar
Places_Dark Cave,Cueva Oscura
Places_Ruins of Alph,Ruinas Alfa
Places_Slowpoke Well,Pozo Slowpoke
Places_Sprout Tower,Torre Bellsprout
Places_Union Cave,Cueva Unión
Places_Mt. Mortar,Monte Mortero
Places_Bell Tower,Torre Campana
Places_Tin Tower,Torre Hojalata
Places_Tin Tower Peak,Cima Torre Hojalata
Places_Burned Tower,Torre Quemada
Places_Glitter Lighthouse,Faro De Olivo
Places_Ice Path,Ruta Helada
Places_National Park,Parque Nacional
Places_Whirl Islands,Islas Remolino
Places_Lake of Rage,Lago De La Furia
Places_Underground,Ruta Subterránea
Places_Dragon's Den,Guarida Dragón
Places_Tohjo Falls,Cataratas Tohjo
Places_Victory Road,Calle Victoria
Places_Mt. Silver,Monte Plateado
Places_Diamond Dive,Diamond Dive
Places_Indigo Plateau,Meseta Añil
Places_Safari Zone,Zona Safari
Places_Viridian Forest,Bosque Verde
Places_Cerulean Cave,Cueva Celeste
Places_Power Plant,Central Eléctrica
Places_Rock Tunnel,Túnel Roca
Places_Seafoam Islands,Islas Espuma
Places_Pal Park,Parque Compi
Places_Diglett's Cave,Cueva Diglett
Places_Mt. Moon ,Mt. Moon
Places_Mt. Ember,Monte Ascuas
Places_Three Island Path, Isla De LosTres Caminos 
Places_Berry Forest,Bosque Baya
Places_Icefall Cave,Cueva Glaciada
Places_Lost Cave,Cueva Perdida
Places_Trainer Tower,Torre Desafío
Places_Altering Cave ,Cueva Cambiante
Places_Pattern Bush,Bosquejo
Places_Dotted Cave,Cueva Punteada
Places_Tanoby Chambers,Cámaras de Tanoby
Places_Tanoby Key,Tanoby llave
Places_Monean Chamber,Cámara monetaria
Places_Liptoo Chamber,Cámara de Liptoo
Places_Weepth Chamber,Cámara de llanto
Places_Dilford Chamber,Cámara de Dilford
Places_Scrufib Chamber,Cámara Scrufib
Places_Rixy Chamber,Cámara de Rixy
Places_Viapois Chamber,Cámara de Viapois
