language_name,Norsk
---
MainMenuScreen:
main_menu_continue,Fortsett
main_menu_load_game,Last Spill
main_menu_new_game,Nytt Spill
main_menu_quit_game,Avslutt Spill
LoadScreen:
load_menu_name,Navn
load_menu_badges,Merker
load_menu_location,Lokasjon
load_menu_time,Tid
load_menu_back,Tilbake
load_menu_load,Last
load_menu_delete,Slett
load_menu_gamemode,Spillmodus
DeleteScreen:
delete_menu_delete_confirm,Vil du virkelig slette det du har lagret
delete_menu_delete,Slett
delete_menu_cancel,Avbryt
LanguageScreen:
language_menu_apply,Bruk
language_menu_back,Tilbake
PacksScreen:
pack_menu_up,Opp
pack_menu_down,Ned
pack_menu_toggle_on,Aktiver
pack_menu_toggle_off,Deaktiver
pack_menu_information,Informasjon
pack_menu_enabled,Aktivert
pack_menu_apply,Bruk
pack_menu_back,Tilbake
pack_menu_songs,Sanger
pack_menu_sounds,Lyder
pack_menu_textures,Tekstur
pack_menu_name,Navn
pack_menu_version,Versjon
pack_menu_by,Av
pack_menu_content,Innhold
pack_menu_description,Beskrivelse
---
GameModeMenu:
gamemode_menu_name,Navn
gamemode_menu_description,Beskrivelse
gamemode_menu_version,Versjon
gamemode_menu_author,Forfatter
gamemode_menu_contentpath,Filbane for innhold
gamemode_menu_create,Opprett
gamemode_menu_back,Tilbake
---
Pausescreen:
pause_menu_title,Spill meny
pause_menu_back_to_game,Tilbake til spillet
pause_menu_disconnect,Koble fra
pause_menu_quit_to_menu,Avslutt til hovedmenyen
pause_menu_autosave_fail,Kunne ikke lagre automatisk.
pause_menu_yes,Ja
pause_menu_no,Nei
pause_menu_confirmation,Vil du virkelig avslutte? Fremgang som ikke er lagret vil gå tapt.
---
IngameMenu:
game_menu_pokedex,Pokédex
game_menu_party,Pokémon
game_menu_bag,Ryggsekk
game_menu_trainer_card,<playername>
game_menu_save,Lagre
game_menu_options,Alternativer
game_menu_exit,Lukk meny
---
InventoryScreen:
inventory_menu_bag,Ryggsekk
inventory_menu_backadvice,TRYKK E FOR Å GÅ TILBAKE
inventory_menu_items,Artikler
inventory_menu_description,Beskrivelse
---
NewGameScreen:
new_game_oak_1,Heisann!~Beklager for at jeg~holder deg ventende!*Velkommen til verdenen~av Pokémon!*Mitt navn er Oak.~Folk kaller meg~Pokémon Prof.*Denne verden er bebodd~av skapninger som~vi kaller
new_game_oak_2,Pokémon.*Folk og Pokémon lever~sammen ved å støtte~hverandre. Noen mennesker leker med~Pokémon, noen kjemper med dem.*Men vi vet ikke~alt om~Pokémon ennå.~Det er fortsatt mange mysterier å løse.*Derfor studerer jeg~Pokémon hver dag.*Nå, hva sa du~navnet ditt var?
new_game_oak_3,~er du klar?*Din egen~Pokémon-historie er i ferd med~å utfolde seg.*Du vil møte på moro~og tøffe utfordringer.~En verden av drømmer og eventyr med Pokémon~venter!*La oss gå!*Jeg kommer til å se ~ deg senere!
new_game_oak_weird_name_1,Ikke sant! Så navnet ditt er~
new_game_oak_weird_name_2,!*Hm det er et~rart navn.
new_game_oak_known_name_1,Ikke sant! Så navnet ditt er~
new_game_oak_known_name_2,!*Hm Jeg er sikker på at~jeg har hørt dette navnet før.
new_game_oak_same_name_1,Hei, vi har det~samme navnet.*Mitt navn er også~
new_game_oak_same_name_2,!
new_game_oak_name_1,Ikke sant! Så navnet ditt er~
new_game_oak_name_2,!
new_game_your_name,Ditt navn
new_game_choose_skin,Velg klær
new_game_name_too_short,Dette navnet er for kort
---
MapScreen:
map_screen_cities,Byer
map_screen_routes,Ruter
map_screen_places,Steder
map_screen_roaming,Roaming Pokes
---
PokedexScreen:
pokedex_screen_seen,Sett
pokedex_screen_obtained,Fanget
pokedex_screen_rare,Sjelden
pokedex_screen_backadvice,TRYKK E FOR Å GÅ TILBAKE
---
PokemonScreen:
pokemon_screen_choose_a_pokemon,Velg en Pokémon
pokemon_screen_backadvice,Trykk E for å gå tilbake.
pokemon_screen_item_give,Gi
pokemon_screen_item_take,Ta
pokemon_screen_item_back,Tilbake
pokemon_screen_doesnt_hold_item,~holder ikke et objekt.
pokemon_screen_take_item_1,Tok 
pokemon_screen_take_item_2, fra~
pokemon_screen_take_item_3,~og la det inn i~
pokemon_screen_take_item_4, lommen!
pokemon_screen_give_item_1,Ga 
pokemon_screen_give_item_2, til~
pokemon_screen_give_item_3,
pokemon_screen_give_item_4,~og la  
pokemon_screen_give_item_5,~tilbake i sekken.
pokemon_screen_summary,	Sammendrag
pokemon_screen_switch,Bytt
pokemon_screen_item,Objekt
pokemon_screen_back,Tilbake
pokemon_screen_EMPTY,TOMT
---
Pokemon Status Screen:
All pages:
poke_status_screen_nature,Nature
poke_status_screen_backadvice,TRYKK E FOR Å GÅ TILBAKE
