Name|Shieldon
Number|410
ExperienceType|1
BaseExperience|70
Type1|Rock
Type2|Steel
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|None
BaseEggSteps|7905
EggPokemon|410
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|87.5
Ability1|5
Ability2|Nothing
HiddenAbility|43
EggMoves|34,68,174,38,90,116,470,29,350,184,103,446,469
Machines|174,46,92,249,237,241,173,59,63,182,203,218,231,89,216,91,189,104,207,214,197,156,213,34,36,38,58,99,85,102,117,120,130,157,164,269,351,53,317,259,263,290,416,397,444,446,445,363,430,479,496,590,70
BaseHP|30
BaseAttack|42
BaseDefense|118
BaseSpAttack|42
BaseSpDefense|88
BaseSpeed|30
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It was generated from a fossil dug out of a layer of clay that was older than anyone knows. It has a sturdy face.\Shield Pokémon\57\0.5\0,148,0
Scale|0.7
Move|1,33
Move|1,182
Move|6,269
Move|10,319
Move|15,36
Move|19,334
Move|24,207
Move|28,246
Move|33,203
Move|37,368
Move|42,442
Move|46,484
TradeValue|50
EvolutionCondition|411,Level,30,Level
