Name|Malamar
Number|687
ExperienceType|1
BaseExperience|169
Type1|Dark
Type2|Psychic
CatchRate|80
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Water2
BaseEggSteps|5355
EggPokemon|686
IsGenderLess|0
CanBreed|1
Devolution|686
IsMale|50
Ability1|21
Ability2|126
HiddenAbility|151
EggMoves|293,194,260,471,493
Machines|174,92,244,237,241,173,63,182,240,203,218,216,94,104,207,214,197,156,213,168,171,34,36,38,99,85,100,102,115,117,118,130,149,157,161,164,347,269,113,351,53,332,259,263,290,285,289,374,373,371,278,416,445,399,363,433,473,477,496,502,514,526,590,148,250,431,291
BaseHP|86
BaseAttack|92
BaseDefense|88
BaseSpAttack|68
BaseSpDefense|75
BaseSpeed|73
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It wields the most compelling hypnotic powers of any Pokémon, and it forces others to do whatever it wants.\Overturning Pokémon\47.0\1.5\0,148,0
Scale|1.2
Move|1,276
Move|1,179
Move|1,33
Move|1,64
Move|1,132
Move|4,115
Move|7,492
Move|12,207
Move|13,149
Move|15,576
Move|18,95
Move|21,60
Move|23,415
Move|27,371
Move|31,113
Move|35,365
Move|39,427
Move|43,163
Move|46,400
Move|48,276
TradeValue|50
