Name|Diggersby
Number|660
ExperienceType|1
BaseExperience|148
Type1|Normal
Type2|Ground
CatchRate|127
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|4080
EggPokemon|659
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|53
Ability2|167
HiddenAbility|37
EggMoves|111,205,191
Machines|223,174,205,92,249,237,173,63,182,203,218,89,216,91,189,104,8,207,214,188,201,111,9,197,156,213,168,7,5,14,25,34,36,38,61,55,58,6,66,68,69,99,90,102,117,118,120,130,157,161,164,264,339,280,351,317,259,263,290,289,374,409,371,278,416,444,446,445,363,447,369,479,496,523,526,528,267,612,590,15,57,70,431,560
BaseHP|85
BaseAttack|56
BaseDefense|77
BaseSpAttack|50
BaseSpDefense|77
BaseSpeed|78
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|With their powerful ears, they can heft boulders of a ton or more with ease. They can be a big help at construction sites.\Digging Pokémon\42.4\1.0\0,148,0
Scale|1.0
Move|1,359
Move|1,563
Move|1,523
Move|1,14
Move|1,33
Move|1,97
Move|1,43
Move|7,98
Move|13,189
Move|15,36
Move|18,341
Move|20,24
Move|26,316
Move|31,175
Move|37,91
Move|42,340
Move|48,162
Move|53,263
Move|57,89
Move|60,359
TradeValue|40
