Name|Victini
Number|494
ExperienceType|3
BaseExperience|270
Type1|Psychic
Type2|Fire
CatchRate|3
BaseFriendship|100
EggGroup1|None
EggGroup2|None
BaseEggSteps|30855
EggPokemon|494
IsGenderLess|1
CanBreed|0
Devolution|0
IsMale|0.0
Ability1|162
Ability2|Nothing
HiddenAbility|Nothing
Machines|29,174,92,249,244,237,241,173,63,182,203,218,76,87,216,94,104,207,214,126,129,9,197,156,213,7,171,36,66,68,69,99,85,100,102,117,118,130,149,161,164,280,351,53,263,290,285,315,411,412,374,373,416,445,363,433,473,477,488,496,510,526,528,612,605,590,148
BaseHP|100
BaseAttack|100
BaseDefense|100
BaseSpAttack|100
BaseSpDefense|100
BaseSpeed|100
FPHP|3
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|When it shares the infinite energy it creates, that being's entire body will be overflowing with power.\Victory Pokémon\4\0.4\0,148,0
Scale|0.7
Move|1,545
Move|1,116
Move|1,93
Move|1,510
Move|1,98
Move|9,203
Move|17,29
Move|25,488
Move|33,179
Move|41,481
Move|49,428
Move|57,517
Move|65,38
Move|73,394
Move|81,515
Move|89,500
Move|97,315
TradeValue|120
