Name|Golett
Number|622
ExperienceType|1
BaseExperience|61
Type1|Ground
Type2|Ghost
CatchRate|190
BaseFriendship|70
EggGroup1|Mineral
EggGroup2|None
BaseEggSteps|6630
EggPokemon|622
Devolution|0
IsGenderLess|1
IsMale|0.0
Ability1|89
Ability2|103
HiddenAbility|99
Machines|223,174,205,92,249,237,173,63,196,182,240,203,218,89,216,94,247,189,104,8,207,214,111,9,197,156,213,168,7,5,25,34,36,58,99,90,102,117,120,130,149,157,164,264,219,280,317,263,290,411,374,409,416,397,360,446,445,363,447,477,490,496,523,612,590,70,148
BaseHP|59
BaseAttack|74
BaseDefense|50
BaseSpAttack|35
BaseSpDefense|50
BaseSpeed|35
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Ancient science fashioned this Pokémon from clay. It's been active for thousands of years.\Automaton Pokémon\92\1\0,148,0
Scale|1
Move|1,1
Move|1,111
Move|1,310
Move|5,189
Move|9,205
Move|13,325
Move|17,334
Move|21,5
Move|25,222
Move|30,223
Move|35,101
Move|40,174
Move|45,89
Move|50,359
Move|55,264
EvolutionCondition|623,Level,43,Level
TradeValue|50
