Name|Spinda
Number|327
ExperienceType|0
BaseExperience|126
Type1|Normal
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Field
EggGroup2|HumanLike
BaseEggSteps|4080
EggPokemon|327
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|20
Ability2|77
HiddenAbility|126
EggMoves|274,226,50,227,313,470,196,427,375,229,272,265,271,352,273,252,157
Machines|223,174,205,92,249,244,237,241,173,63,196,182,240,203,218,216,91,94,247,189,104,8,207,214,129,111,9,138,197,156,213,168,7,171,5,34,36,6,66,68,69,99,102,117,118,149,157,161,164,264,352,219,280,351,317,263,290,285,289,374,409,278,416,445,363,433,496,514,526,528,612,590,70,148
BaseHP|60
BaseAttack|60
BaseDefense|60
BaseSpAttack|60
BaseSpDefense|60
BaseSpeed|60
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|The chances of two SPINDA having identical spot patterns is less than one in four billion.\Spot Panda Pokémon\5\1.1\0,148,0
Scale|1.04
Move|1,33
Move|5,253
Move|10,383
Move|14,185
Move|19,60
Move|23,95
Move|28,146
Move|32,389
Move|37,298
Move|41,244
Move|46,38
Move|50,175
Move|50,37
TradeValue|35
Item|5,2001
