Name|Lairon
Number|305
ExperienceType|3
BaseExperience|151
Type1|Steel
Type2|Rock
CatchRate|90
BaseFriendship|35
EggGroup1|Monster
EggGroup2|None
BaseEggSteps|9180
EggPokemon|304
IsGenderLess|0
CanBreed|1
Devolution|304
IsMale|50
Ability1|5
Ability2|69
HiddenAbility|134
EggMoves|34,174,407,283,457,442,179,103,265,446,23,276
Machines|29,174,205,46,92,249,237,241,173,63,182,203,218,231,89,216,91,189,104,207,214,201,111,197,156,213,210,25,34,36,38,99,82,90,102,117,130,157,164,352,351,317,263,290,421,416,397,444,446,445,363,468,496,523,590,15,70,560
BaseHP|60
BaseAttack|90
BaseDefense|140
BaseSpAttack|50
BaseSpDefense|50
BaseSpeed|40
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It loves iron ore. Groups of them fight for territory by bashing one another with their steel bodies.\Iron Armor Pokémon\120\0.9\0,148,0
Scale|0.96
Move|1,33
Move|1,106
Move|1,189
Move|1,29
Move|4,189
Move|8,29
Move|11,232
Move|15,334
Move|18,46
Move|22,36
Move|25,442
Move|29,182
Move|34,319
Move|40,231
Move|45,475
Move|51,484
Move|56,38
Move|62,368
TradeValue|45
Item|5,125
EvolutionCondition|306,Level,42,Level
