Name|Grumpig
Number|326
ExperienceType|0
BaseExperience|165
Type1|Psychic
Type2|
CatchRate|60
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|325
IsGenderLess|0
CanBreed|1
Devolution|325
IsMale|50
Ability1|47
Ability2|20
HiddenAbility|82
EggMoves|133,203,326,248,381,243,493,285,271,18,428,164
Machines|223,174,92,244,237,241,173,63,196,182,240,203,218,231,216,94,247,189,104,8,207,214,129,9,138,197,156,213,168,7,5,34,36,38,66,68,69,99,102,115,117,130,86,149,161,164,264,347,269,113,280,351,259,263,290,285,289,411,412,374,451,409,371,278,416,445,363,447,433,473,477,496,523,612,590,148
BaseHP|80
BaseAttack|45
BaseDefense|65
BaseSpAttack|90
BaseSpDefense|110
BaseSpeed|80
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|2
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It can perform odd dance steps to influence foes. Its style of dancing became hugely popular overseas.\Manipulate Pokémon\71.5\0.9\0,148,0
Scale|0.96
Move|1,150
Move|1,149
Move|1,316
Move|1,60
Move|7,149
Move|10,316
Move|14,60
Move|15,244
Move|18,109
Move|21,277
Move|26,428
Move|29,156
Move|29,173
Move|35,408
Move|42,473
Move|46,371
Move|52,94
Move|60,340
TradeValue|45
Item|50,2007
