Name|Tentacruel
Number|73
ExperienceType|3
BaseExperience|180
Type1|Water
Type2|Poison
CatchRate|60
BaseFriendship|70
EggGroup1|Water3
EggGroup2|None
BaseEggSteps|5355
EggPokemon|72
IsGenderLess|0
CanBreed|1
Devolution|72
IsMale|50
Ability1|29
Ability2|64
HiddenAbility|44
EggMoves|367,62,392,145,109,114,282,243,330,229,321,219
Machines|174,92,237,173,59,63,196,182,240,202,203,218,216,104,207,214,188,197,156,213,168,14,36,38,61,55,58,99,72,102,117,130,164,352,258,219,263,290,362,371,416,445,363,398,474,482,496,503,611,605,590,15,57,250,127,291
BaseHP|80
BaseAttack|70
BaseDefense|65
BaseSpAttack|80
BaseSpDefense|120
BaseSpeed|100
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|2
FPSpeed|0
CanFly|0
CanSwim|1
Pokedex|Its 80 tentacles absorb water and stretch almost endlessly to constrict its prey and enemies.\Jellyfish Pokémon\55\1.6\0,148,0
Scale|1.24
Move|1,513
Move|1,378
Move|1,40
Move|1,48
Move|1,132
Move|5,48
Move|8,132
Move|12,51
Move|15,390
Move|19,35
Move|22,61
Move|26,491
Move|29,112
Move|34,352
Move|38,398
Move|43,103
Move|47,506
Move|52,56
Move|56,482
Move|61,378
TradeValue|30
Item|5,81
