Name|Qwilfish
Number|211
ExperienceType|1
BaseExperience|86
Type1|Water
Type2|Poison
CatchRate|45
BaseFriendship|70
EggGroup1|Water2
EggGroup2|None
BaseEggSteps|5355
EggPokemon|211
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|38
Ability2|33
HiddenAbility|22
EggMoves|491,453,310,362,61,175,114,324,48,352,398
Machines|29,174,205,92,237,173,59,63,196,182,240,203,218,216,247,104,207,214,188,129,111,197,156,213,36,61,55,58,99,72,102,117,120,86,153,164,352,258,269,351,263,290,362,371,416,360,445,363,398,474,482,496,503,590,57,250,127,291
BaseHP|65
BaseAttack|95
BaseDefense|75
BaseSpAttack|55
BaseSpDefense|55
BaseSpeed|85
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|1
Pokedex|To fire its poison spikes inflate its body by drinking over 2.6 gallons of water all at once.\Balloon Pokémon\3.9\0.5\0,148,0
Scale|0.7
Move|1,565
Move|1,56
Move|1,194
Move|1,55
Move|1,191
Move|1,33
Move|1,40
Move|9,106
Move|9,107
Move|13,145
Move|17,205
Move|21,390
Move|25,254
Move|25,255
Move|29,279
Move|33,362
Move|37,42
Move|41,36
Move|45,401
Move|49,398
Move|53,194
Move|57,56
Move|60,565
TradeValue|25
Item|5,81
