Name|Salamence
Number|373
ExperienceType|3
BaseExperience|270
Type1|Dragon
Type2|Flying
CatchRate|45
BaseFriendship|35
EggGroup1|Dragon
EggGroup2|None
BaseEggSteps|10455
EggPokemon|371
IsGenderLess|0
CanBreed|1
Devolution|372
IsMale|50
Ability1|22
Ability2|Nothing
HiddenAbility|153
EggMoves|111,349,406,82,407,203,424,56,37,239,421
Machines|29,174,205,46,92,192,249,237,241,173,63,182,240,203,218,231,225,89,216,189,104,207,214,126,129,111,197,156,213,211,210,13,18,25,34,36,38,99,82,102,117,130,157,164,337,280,53,317,332,263,290,355,406,421,416,432,444,445,363,468,496,510,523,525,590,15,19,70,560
TutorMoves|434
BaseHP|95
BaseAttack|135
BaseDefense|80
BaseSpAttack|110
BaseSpDefense|80
BaseSpeed|100
FPHP|0
FPAttack|3
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It's uncontrollable if enraged. It flies around spouting flames and scorching fields and mountains.\Dragon Pokémon\102.6\1.5\0,148,0
Scale|1.2
Move|1,38
Move|1,424
Move|1,422
Move|1,99
Move|1,44
Move|1,43
Move|1,29
Move|5,44
Move|10,43
Move|16,29
Move|20,116
Move|25,52
Move|30,182
Move|32,225
Move|37,428
Move|43,184
Move|50,19
Move|53,242
Move|61,337
Move|70,38
Move|80,525
TradeValue|75
Item|5,144
