Name|Manaphy
Number|490
ExperienceType|3
BaseExperience|270
Type1|Water
Type2|
CatchRate|3
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Fairy
BaseEggSteps|2805
EggPokemon|489
IsGenderLess|1
CanBreed|1
Devolution|0
IsMale|0.0
Ability1|93
Ability2|Nothing
HiddenAbility|Nothing
Machines|174,92,244,237,173,59,63,196,182,240,203,218,216,94,189,104,207,214,129,197,156,213,36,61,55,58,99,100,102,117,164,352,263,290,285,362,374,416,445,363,496,503,605,590,57,148,250,127,291
BaseHP|100
BaseAttack|100
BaseDefense|100
BaseSpAttack|100
BaseSpDefense|100
BaseSpeed|100
FPHP|3
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It starts its life with a wondrous power that permits it to bond with any kind of Pokémon.\Seafaring Pokémon\1.4\0.3\0,148,0
Scale|0.7
Move|1,294
Move|1,145
Move|1,346
Move|9,204
Move|16,48
Move|24,61
Move|31,151
Move|39,250
Move|46,352
Move|54,392
Move|61,291
Move|69,240
Move|76,391
TradeValue|110
