Name|Snorunt
Number|361
ExperienceType|1
BaseExperience|60
Type1|Ice
Type2|
CatchRate|190
BaseFriendship|70
EggGroup1|Fairy
EggGroup2|Mineral
BaseEggSteps|5355
EggPokemon|361
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|39
Ability2|115
HiddenAbility|141
EggMoves|419,117,335,50,506,313,205,191,415,311
Machines|29,174,205,92,237,173,59,63,196,182,203,218,216,104,207,214,197,156,213,34,36,58,99,102,117,130,164,352,258,263,290,416,419,445,363,496,524,590,148
BaseHP|50
BaseAttack|50
BaseDefense|50
BaseSpAttack|50
BaseSpDefense|50
BaseSpeed|50
FPHP|1
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It's said that if they are seen at midnight, they'll cause heavy snow. They eat snow and ice to survive.\Snow Hat Pokémon\16.8\0.7\0,148,0
Scale|0.88
Move|1,181
Move|1,43
Move|4,104
Move|10,44
Move|13,196
Move|19,29
Move|22,182
Move|28,423
Move|31,242
Move|37,420
Move|40,258
Move|46,59
TradeValue|40
Item|5,2050
EvolutionCondition|362,level,42,level
EvolutionCondition|478,item,137,item
EvolutionCondition|478,gender,1,item
