Name|Froslass
Number|478
ExperienceType|1
BaseExperience|168
Type1|Ice
Type2|Ghost
CatchRate|75
BaseFriendship|70
EggGroup1|Fairy
EggGroup2|Mineral
BaseEggSteps|5355
EggPokemon|361
IsGenderLess|0
CanBreed|1
Devolution|361
IsMale|0
Ability1|81
Ability2|Nothing
HiddenAbility|130
EggMoves|419,117,335,50,506,313,205,191,415,311
Machines|174,205,92,244,237,173,59,63,196,182,203,218,87,216,247,189,104,8,207,214,111,138,197,156,213,171,58,68,99,102,117,149,164,352,351,263,290,289,373,416,419,445,363,477,496,524,590,148
BaseHP|70
BaseAttack|80
BaseDefense|70
BaseSpAttack|80
BaseSpDefense|70
BaseSpeed|110
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|Legends in snowy regions say that a woman who was lost on an icy mountain was reborn as FROSLASS.\Snow Land Pokémon\26.6\1.3\0,148,0
Scale|1.12
Move|1,194
Move|1,181
Move|1,43
Move|1,104
Move|1,310
Move|4,104
Move|10,310
Move|13,196
Move|19,109
Move|22,466
Move|28,358
Move|31,445
Move|37,420
Move|40,258
Move|51,59
Move|59,194
TradeValue|80
Item|5,2050
